Group,Freq,SurveyName,Country,StartYear
Formerly Married,0.001308238,AFIR70FL.DTA,Afghanistan,2015
Married,0.998691762,AFIR70FL.DTA,Afghanistan,2015
Formerly Married,0.081017662,AOIR71FL.DTA,Angola,2015
Married,0.568128832,AOIR71FL.DTA,Angola,2015
Never Married,0.350853506,AOIR71FL.DTA,Angola,2015
Formerly Married,0.004688947,AMIR71FL.DTA,Armenia,2015
Married,0.991353158,AMIR71FL.DTA,Armenia,2015
Never Married,0.003957894,AMIR71FL.DTA,Armenia,2015
Formerly Married,0.006277106,AMIR61FL.DTA,Armenia,2010
Married,0.991950641,AMIR61FL.DTA,Armenia,2010
Never Married,0.001772253,AMIR61FL.DTA,Armenia,2010
Married,1,BDIR7RFL.DTA,Bangladesh,2017
Married,1,BDIR72FL.DTA,Bangladesh,2014
Married,1,BDIR61FL.DTA,Bangladesh,2011
Formerly Married,0.0525277,BJIR71FL.DTA,Benin,2017
Married,0.75451606,BJIR71FL.DTA,Benin,2017
Never Married,0.19295624,BJIR71FL.DTA,Benin,2017
Formerly Married,0.049168499,BJIR61FL.DTA,Benin,2011
Married,0.650275424,BJIR61FL.DTA,Benin,2011
Never Married,0.300556077,BJIR61FL.DTA,Benin,2011
Formerly Married,0.024868344,BFIR62FL.DTA,Burkina Faso,2010
Married,0.840399623,BFIR62FL.DTA,Burkina Faso,2010
Never Married,0.134732032,BFIR62FL.DTA,Burkina Faso,2010
Formerly Married,0.041235838,BUIR70FL.DTA,Burundi,2016
Married,0.903896514,BUIR70FL.DTA,Burundi,2016
Never Married,0.054867648,BUIR70FL.DTA,Burundi,2016
Formerly Married,0.02988393,BUIR61FL.DTA,Burundi,2010
Married,0.941799203,BUIR61FL.DTA,Burundi,2010
Never Married,0.028316867,BUIR61FL.DTA,Burundi,2010
Formerly Married,0.007949627,KHIR73FL.DTA,Cambodia,2014
Married,0.98930767,KHIR73FL.DTA,Cambodia,2014
Never Married,0.002742703,KHIR73FL.DTA,Cambodia,2014
Formerly Married,0.077064967,CMIR61FL.DTA,Cameroon,2011
Married,0.62598116,CMIR61FL.DTA,Cameroon,2011
Never Married,0.296953872,CMIR61FL.DTA,Cameroon,2011
Formerly Married,0.10954217,TDIR71FL.DTA,Chad,2014
Married,0.789800808,TDIR71FL.DTA,Chad,2014
Never Married,0.100657022,TDIR71FL.DTA,Chad,2014
Formerly Married,0.050313534,KMIR61FL.DTA,Comoros,2012
Married,0.867606518,KMIR61FL.DTA,Comoros,2012
Never Married,0.082079948,KMIR61FL.DTA,Comoros,2012
Formerly Married,0.148994806,CGIR60FL.DTA,Congo,2011
Married,0.586432239,CGIR60FL.DTA,Congo,2011
Never Married,0.264572956,CGIR60FL.DTA,Congo,2011
Formerly Married,0.222951543,DRIR61FL.DTA,Dominican Republic,2013
Married,0.70501216,DRIR61FL.DTA,Dominican Republic,2013
Never Married,0.072036297,DRIR61FL.DTA,Dominican Republic,2013
Married,1,EGIR61FL.DTA,Egypt,2014
Formerly Married,0.052505237,ETIR70FL.DTA,Ethiopia,2016
Married,0.923096935,ETIR70FL.DTA,Ethiopia,2016
Never Married,0.024397828,ETIR70FL.DTA,Ethiopia,2016
Formerly Married,0.064242873,ETIR61FL.DTA,Ethiopia,2011
Married,0.910330938,ETIR61FL.DTA,Ethiopia,2011
Never Married,0.025426189,ETIR61FL.DTA,Ethiopia,2011
Formerly Married,0.113234514,GAIR60FL.DTA,Gabon,2012
Married,0.492367478,GAIR60FL.DTA,Gabon,2012
Never Married,0.394398008,GAIR60FL.DTA,Gabon,2012
Formerly Married,0.050456751,GMIR81FL.DTA,Gambia,2019
Married,0.893930017,GMIR81FL.DTA,Gambia,2019
Never Married,0.055613232,GMIR81FL.DTA,Gambia,2019
Formerly Married,0.08147854,GMIR60FL.DTA,Gambia,2013
Married,0.835100382,GMIR60FL.DTA,Gambia,2013
Never Married,0.083421077,GMIR60FL.DTA,Gambia,2013
Formerly Married,0.094231176,GHIR72FL.DTA,Ghana,2014
Married,0.66237278,GHIR72FL.DTA,Ghana,2014
Never Married,0.243396044,GHIR72FL.DTA,Ghana,2014
Formerly Married,0.06814976,GUIR71FL.DTA,Guatemala,2014
Married,0.891900172,GUIR71FL.DTA,Guatemala,2014
Never Married,0.039950068,GUIR71FL.DTA,Guatemala,2014
Formerly Married,0.037546565,GNIR71FL.DTA,Guinea,2018
Married,0.656446364,GNIR71FL.DTA,Guinea,2018
Never Married,0.306007071,GNIR71FL.DTA,Guinea,2018
Formerly Married,0.074315599,GNIR62FL.DTA,Guinea,2012
Married,0.483229561,GNIR62FL.DTA,Guinea,2012
Never Married,0.44245484,GNIR62FL.DTA,Guinea,2012
Formerly Married,0.107586429,HNIR62FL.DTA,Honduras,2011
Married,0.846095871,HNIR62FL.DTA,Honduras,2011
Never Married,0.0463177,HNIR62FL.DTA,Honduras,2011
Formerly Married,0.036487211,IAIR7DFL.DTA,India,2019
Married,0.958337873,IAIR7DFL.DTA,India,2019
Never Married,0.005174916,IAIR7DFL.DTA,India,2019
Formerly Married,0.038237758,IAIR73FL.DTA,India,2015
Married,0.959693303,IAIR73FL.DTA,India,2015
Never Married,0.002068939,IAIR73FL.DTA,India,2015
Formerly Married,0.004957693,IDIR71FL.DTA,Indonesia,2017
Married,0.994147341,IDIR71FL.DTA,Indonesia,2017
Never Married,0.000894966,IDIR71FL.DTA,Indonesia,2017
Formerly Married,0.005289584,IDIR63FL.DTA,Indonesia,2012
Married,0.993958415,IDIR63FL.DTA,Indonesia,2012
Never Married,0.000752001,IDIR63FL.DTA,Indonesia,2012
Formerly Married,0.001940837,JOIR72FL.DTA,Jordan,2017
Married,0.998059163,JOIR72FL.DTA,Jordan,2017
Formerly Married,0.001292574,JOIR6CFL.DTA,Jordan,2012
Married,0.998707426,JOIR6CFL.DTA,Jordan,2012
Formerly Married,0.09164382,KEIR72FL.DTA,Kenya,2014
Married,0.812299779,KEIR72FL.DTA,Kenya,2014
Never Married,0.096056401,KEIR72FL.DTA,Kenya,2014
Formerly Married,0.034855292,KYIR61FL.DTA,Kyrgyz Republic,2012
Married,0.952327287,KYIR61FL.DTA,Kyrgyz Republic,2012
Never Married,0.01281742,KYIR61FL.DTA,Kyrgyz Republic,2012
Formerly Married,0.12207037,LSIR71FL.DTA,Lesotho,2014
Married,0.671389237,LSIR71FL.DTA,Lesotho,2014
Never Married,0.206540393,LSIR71FL.DTA,Lesotho,2014
Formerly Married,0.098345379,LBIR7AFL.DTA,Liberia,2019
Married,0.496813615,LBIR7AFL.DTA,Liberia,2019
Never Married,0.404841006,LBIR7AFL.DTA,Liberia,2019
Formerly Married,0.111401249,LBIR6AFL.DTA,Liberia,2013
Married,0.542915429,LBIR6AFL.DTA,Liberia,2013
Never Married,0.345683322,LBIR6AFL.DTA,Liberia,2013
Formerly Married,0.095413353,MDIR81FL.DTA,Madagascar,2021
Married,0.77040195,MDIR81FL.DTA,Madagascar,2021
Never Married,0.134184697,MDIR81FL.DTA,Madagascar,2021
Formerly Married,0.109425364,MWIR7AFL.DTA,Malawi,2015
Married,0.846348652,MWIR7AFL.DTA,Malawi,2015
Never Married,0.044225984,MWIR7AFL.DTA,Malawi,2015
Formerly Married,0.026134105,MVIR71FL.DTA,Maldives,2016
Married,0.965190087,MVIR71FL.DTA,Maldives,2016
Never Married,0.008675808,MVIR71FL.DTA,Maldives,2016
Formerly Married,0.01761992,MLIR7HFL.DTA,Mali,2018
Married,0.868122677,MLIR7HFL.DTA,Mali,2018
Never Married,0.114257403,MLIR7HFL.DTA,Mali,2018
Formerly Married,0.015920485,MLIR6AFL.DTA,Mali,2012
Married,0.875902954,MLIR6AFL.DTA,Mali,2012
Never Married,0.108176561,MLIR6AFL.DTA,Mali,2012
Married,1,MRIR71FL.DTA,Mauritania,2019
Formerly Married,0.134982581,MZIR62FL.DTA,Mozambique,2011
Married,0.640563523,MZIR62FL.DTA,Mozambique,2011
Never Married,0.224453895,MZIR62FL.DTA,Mozambique,2011
Formerly Married,0.008756079,NPIR7HFL.DTA,Nepal,2016
Married,0.990903619,NPIR7HFL.DTA,Nepal,2016
Never Married,0.000340302,NPIR7HFL.DTA,Nepal,2016
Formerly Married,0.011771834,NPIR60FL.DTA,Nepal,2011
Married,0.98698767,NPIR60FL.DTA,Nepal,2011
Never Married,0.001240495,NPIR60FL.DTA,Nepal,2011
Formerly Married,0.009434469,NIIR61FL.DTA,Niger,2012
Married,0.984873161,NIIR61FL.DTA,Niger,2012
Never Married,0.00569237,NIIR61FL.DTA,Niger,2012
Formerly Married,0.037926983,NGIR7AFL.DTA,Nigeria,2018
Married,0.809827598,NGIR7AFL.DTA,Nigeria,2018
Never Married,0.152245419,NGIR7AFL.DTA,Nigeria,2018
Formerly Married,0.038453458,NGIR6AFL.DTA,Nigeria,2013
Married,0.677125399,NGIR6AFL.DTA,Nigeria,2013
Never Married,0.284421144,NGIR6AFL.DTA,Nigeria,2013
Formerly Married,0.012351355,PKIR71FL.DTA,Pakistan,2017
Married,0.987648645,PKIR71FL.DTA,Pakistan,2017
Formerly Married,0.014409924,PHIR61FL.DTA,Philippines,2013
Married,0.959509245,PHIR61FL.DTA,Philippines,2013
