Method,Freq,SurveyName,Country,StartYear
Pill,0.303513268,AFIR70FL.DTA,Afghanistan,2015
IUD,0.063324278,AFIR70FL.DTA,Afghanistan,2015
Injections,0.217986193,AFIR70FL.DTA,Afghanistan,2015
Male Condom,0.147298156,AFIR70FL.DTA,Afghanistan,2015
Female Sterilization,0.082753927,AFIR70FL.DTA,Afghanistan,2015
Male Sterilization,0.001465923,AFIR70FL.DTA,Afghanistan,2015
Periodic Abstinence,0.002122086,AFIR70FL.DTA,Afghanistan,2015
Withdrawal,0.114420024,AFIR70FL.DTA,Afghanistan,2015
Other Traditional Method,0.00288665,AFIR70FL.DTA,Afghanistan,2015
Implant,0.00719026,AFIR70FL.DTA,Afghanistan,2015
Lactational Amenorrhea,0.056522585,AFIR70FL.DTA,Afghanistan,2015
Other Modern Method,0.00051665,AFIR70FL.DTA,Afghanistan,2015
Pill,0.194445554,AOIR71FL.DTA,Angola,2015
IUD,0.009071204,AOIR71FL.DTA,Angola,2015
Injections,0.23640776,AOIR71FL.DTA,Angola,2015
Male Condom,0.435428671,AOIR71FL.DTA,Angola,2015
Female Sterilization,0.002224823,AOIR71FL.DTA,Angola,2015
Male Sterilization,0.000217172,AOIR71FL.DTA,Angola,2015
Periodic Abstinence,0.026758366,AOIR71FL.DTA,Angola,2015
Withdrawal,0.029896304,AOIR71FL.DTA,Angola,2015
Other Traditional Method,0.006751918,AOIR71FL.DTA,Angola,2015
Implant,0.038917289,AOIR71FL.DTA,Angola,2015
Lactational Amenorrhea,0.002642009,AOIR71FL.DTA,Angola,2015
Female Condom,0.004410322,AOIR71FL.DTA,Angola,2015
Emergency Contraception,0.004440554,AOIR71FL.DTA,Angola,2015
Other Modern Method,0.007912722,AOIR71FL.DTA,Angola,2015
Standard Days Method,0.000475334,AOIR71FL.DTA,Angola,2015
Pill,0.046594528,AMIR71FL.DTA,Armenia,2015
IUD,0.155477209,AMIR71FL.DTA,Armenia,2015
Injections,0.003058717,AMIR71FL.DTA,Armenia,2015
Male Condom,0.260798359,AMIR71FL.DTA,Armenia,2015
Female Sterilization,0.012987906,AMIR71FL.DTA,Armenia,2015
Periodic Abstinence,0.066778717,AMIR71FL.DTA,Armenia,2015
Withdrawal,0.433268722,AMIR71FL.DTA,Armenia,2015
Other Traditional Method,0.006028386,AMIR71FL.DTA,Armenia,2015
Lactational Amenorrhea,0.012711395,AMIR71FL.DTA,Armenia,2015
Other Modern Method,0.00229606,AMIR71FL.DTA,Armenia,2015
Pill,0.027530335,AMIR61FL.DTA,Armenia,2010
IUD,0.1746781,AMIR61FL.DTA,Armenia,2010
Male Condom,0.267999466,AMIR61FL.DTA,Armenia,2010
Female Sterilization,0.005812544,AMIR61FL.DTA,Armenia,2010
Periodic Abstinence,0.043867054,AMIR61FL.DTA,Armenia,2010
Withdrawal,0.442230204,AMIR61FL.DTA,Armenia,2010
Other,0.013855104,AMIR61FL.DTA,Armenia,2010
Lactational Amenorrhea,0.014303155,AMIR61FL.DTA,Armenia,2010
Foam Or Jelly,0.002169173,AMIR61FL.DTA,Armenia,2010
Standard Days Method,0.007554865,AMIR61FL.DTA,Armenia,2010
Pill,0.409986134,BDIR7RFL.DTA,Bangladesh,2017
IUD,0.008913639,BDIR7RFL.DTA,Bangladesh,2017
Injections,0.173793813,BDIR7RFL.DTA,Bangladesh,2017
Male Condom,0.116052194,BDIR7RFL.DTA,Bangladesh,2017
Female Sterilization,0.078209159,BDIR7RFL.DTA,Bangladesh,2017
Male Sterilization,0.017089407,BDIR7RFL.DTA,Bangladesh,2017
Periodic Abstinence,0.112368563,BDIR7RFL.DTA,Bangladesh,2017
Withdrawal,0.044746025,BDIR7RFL.DTA,Bangladesh,2017
Other Traditional Method,0.003769389,BDIR7RFL.DTA,Bangladesh,2017
Implant,0.034487061,BDIR7RFL.DTA,Bangladesh,2017
Lactational Amenorrhea,0.000230943,BDIR7RFL.DTA,Bangladesh,2017
Emergency Contraception,0.000186902,BDIR7RFL.DTA,Bangladesh,2017
Other Modern Method,0.000166771,BDIR7RFL.DTA,Bangladesh,2017
Pill,0.432106353,BDIR72FL.DTA,Bangladesh,2014
IUD,0.010127963,BDIR72FL.DTA,Bangladesh,2014
Injections,0.198898229,BDIR72FL.DTA,Bangladesh,2014
Male Condom,0.103192351,BDIR72FL.DTA,Bangladesh,2014
Female Sterilization,0.073636888,BDIR72FL.DTA,Bangladesh,2014
Male Sterilization,0.019986881,BDIR72FL.DTA,Bangladesh,2014
Periodic Abstinence,0.099708124,BDIR72FL.DTA,Bangladesh,2014
Withdrawal,0.030465837,BDIR72FL.DTA,Bangladesh,2014
Other,0.004211475,BDIR72FL.DTA,Bangladesh,2014
Implant,0.027405077,BDIR72FL.DTA,Bangladesh,2014
Lactational Amenorrhea,0.000260822,BDIR72FL.DTA,Bangladesh,2014
Pill,0.444994691,BDIR61FL.DTA,Bangladesh,2011
IUD,0.011967776,BDIR61FL.DTA,Bangladesh,2011
Injections,0.18297552,BDIR61FL.DTA,Bangladesh,2011
Male Condom,0.090433408,BDIR61FL.DTA,Bangladesh,2011
Female Sterilization,0.081055123,BDIR61FL.DTA,Bangladesh,2011
