Group,Freq,SurveyName,Country,StartYear
"Infecund, Menopausal",0.00897757,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.906233715,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.084788715,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.057141748,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",0.489376231,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",0.078379966,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",0.165089495,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",0.21001256,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",0.002304746,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",0.69642651,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",0.185180015,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",0.116088729,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",0.807784945,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",0.107418557,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",0.084796499,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",0.023651685,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",0.713779519,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",0.262568797,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",0.025265393,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",0.752594173,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",0.222140435,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",0.026721589,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",0.754361878,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",0.218916533,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",0.011989383,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",0.617538719,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",0.242121214,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",0.066026752,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",0.062323931,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",0.024205397,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",0.499193833,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",0.161793816,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",0.206266245,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",0.10854071,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",0.009941758,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",0.747352444,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",0.15629168,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",0.072724482,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",0.013689636,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",0.019597699,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",0.734998829,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",0.110787164,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",0.095135285,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",0.039481023,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",0.049325128,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",0.711735367,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",0.150474914,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",0.061065812,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",0.027398779,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",0.036173095,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",0.683342397,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",0.185416805,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",0.085009324,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",0.010058379,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",0.01391418,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",0.547845204,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",0.175255119,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",0.164537268,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",0.098448229,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",0.011568085,TDIR71FL.DTA,Chad,2014
"Married, Does Not Want Child within 2 Years",0.683091953,TDIR71FL.DTA,Chad,2014
"Married, Wants Child within 2 Years",0.134127807,TDIR71FL.DTA,Chad,2014
"Not Married, Not Sexually Active",0.11015258,TDIR71FL.DTA,Chad,2014
"Not Married, Sexually Active",0.061059574,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",0.018315374,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",0.77763726,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",0.077468677,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",0.088556937,KMIR61FL.DTA,Comoros,2012
"Not Married, Sexually Active",0.038021751,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",0.015270922,CGIR60FL.DTA,Congo,2011
"Married, Does Not Want Child within 2 Years",0.605098158,CGIR60FL.DTA,Congo,2011
"Married, Wants Child within 2 Years",0.08982472,CGIR60FL.DTA,Congo,2011
"Not Married, Not Sexually Active",0.132275124,CGIR60FL.DTA,Congo,2011
