Group,Intention,Freq,N,SurveyName,Country,StartYear
All Never Users,does not intend,0.273559679,3185,AFIR70FL.DTA,Afghanistan,2015
All Never Users,unsure about use,0.244163391,3185,AFIR70FL.DTA,Afghanistan,2015
All Never Users,use later,0.48227693,3185,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",does not intend,0.907522374,347,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",unsure about use,0.05671233,347,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",use later,0.035765297,347,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",does not intend,0.164018998,2498,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",unsure about use,0.271857388,2498,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",use later,0.564123613,2498,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",does not intend,0.3251418,322,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",unsure about use,0.261755261,322,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",use later,0.413102939,322,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",does not intend,0.841906699,13,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",unsure about use,0.158093301,13,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",use later,0,13,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",does not intend,0.324524243,5,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",unsure about use,0.675475757,5,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",use later,0,5,AFIR70FL.DTA,Afghanistan,2015
All Never Users,does not intend,0.260146502,1292,AOIR71FL.DTA,Angola,2015
All Never Users,unsure about use,0.103973541,1292,AOIR71FL.DTA,Angola,2015
All Never Users,use later,0.635879957,1292,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",does not intend,0.573434099,119,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",unsure about use,0.086028524,119,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",use later,0.340537377,119,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",does not intend,0.246787684,631,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",unsure about use,0.093305484,631,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",use later,0.659906832,631,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",does not intend,0.31116435,90,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",unsure about use,0.097812299,90,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",use later,0.591023352,90,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",does not intend,0.239395395,218,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",unsure about use,0.134835792,218,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",use later,0.625768813,218,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",does not intend,0.095404958,234,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",unsure about use,0.117457007,234,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",use later,0.787138035,234,AOIR71FL.DTA,Angola,2015
All Never Users,does not intend,0.515909569,752,AMIR71FL.DTA,Armenia,2015
All Never Users,unsure about use,0.220537477,752,AMIR71FL.DTA,Armenia,2015
All Never Users,use later,0.263552953,752,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",does not intend,0.98590871,223,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",unsure about use,0.011980093,223,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",use later,0.002111198,223,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",does not intend,0.308533377,348,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",unsure about use,0.296277327,348,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",use later,0.395189296,348,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",does not intend,0.085165344,65,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",unsure about use,0.275106494,65,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",use later,0.639728162,65,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",does not intend,0.480650128,116,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",unsure about use,0.340998612,116,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",use later,0.178351261,116,AMIR71FL.DTA,Armenia,2015
All Never Users,does not intend,0.546883884,770,AMIR61FL.DTA,Armenia,2010
All Never Users,unsure about use,0.177509728,770,AMIR61FL.DTA,Armenia,2010
All Never Users,use later,0.253784441,770,AMIR61FL.DTA,Armenia,2010
All Never Users,,0.021821947,770,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",does not intend,0.942957051,262,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",unsure about use,0.042380358,262,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",use later,0,262,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",,0.014662591,262,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",does not intend,0.345472434,362,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",unsure about use,0.206057487,362,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",use later,0.420325132,362,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",,0.028144947,362,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",does not intend,0.189306753,41,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",unsure about use,0.268940614,41,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",use later,0.541752633,41,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",,0,41,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",does not intend,0.541013379,102,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",unsure about use,0.298842145,102,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",use later,0.139477785,102,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",,0.020666691,102,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",does not intend,0,3,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",unsure about use,1,3,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",use later,0,3,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",,0,3,AMIR61FL.DTA,Armenia,2010
All Never Users,does not intend,0.28739435,6045,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,unsure about use,0.008039266,6045,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,use later,0.704566385,6045,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",does not intend,0.931000785,1397,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",unsure about use,0.004391204,1397,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",use later,0.06460801,1397,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",does not intend,0.072044122,2809,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",unsure about use,0.009979905,2809,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",use later,0.917975973,2809,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",does not intend,0.040132128,1014,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",unsure about use,0.007409981,1014,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",use later,0.952457892,1014,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",does not intend,,825,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",unsure about use,,825,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",use later,,825,BDIR7RFL.DTA,Bangladesh,2017
All Never Users,does not intend,0.383707439,4073,BDIR72FL.DTA,Bangladesh,2014
All Never Users,unsure about use,0.011437888,4073,BDIR72FL.DTA,Bangladesh,2014
All Never Users,use later,0.604854673,4073,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",does not intend,0.915677737,835,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",unsure about use,0.0080199,835,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",use later,0.076302363,835,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",does not intend,0.159922516,2205,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",unsure about use,0.010161884,2205,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",use later,0.8299156,2205,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",does not intend,0.097762266,614,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",unsure about use,0.027712991,614,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",use later,0.874524743,614,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",does not intend,1,419,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",unsure about use,0,419,BDIR72FL.DTA,Bangladesh,2014
"Not Married, Sexually Active",use later,0,419,BDIR72FL.DTA,Bangladesh,2014
All Never Users,does not intend,0.342408974,4303,BDIR61FL.DTA,Bangladesh,2011
All Never Users,unsure about use,0.005864089,4303,BDIR61FL.DTA,Bangladesh,2011
All Never Users,use later,0.646920719,4303,BDIR61FL.DTA,Bangladesh,2011
All Never Users,,0.004806218,4303,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",does not intend,0.892845314,770,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",unsure about use,0,770,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",use later,0.102585187,770,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",,0.0045695,770,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",does not intend,0.13855245,2442,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",unsure about use,0.007632663,2442,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",use later,0.848847708,2442,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",,0.004967179,2442,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",does not intend,0.055253705,638,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",unsure about use,0.009814772,638,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",use later,0.934931523,638,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",,0,638,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",does not intend,1,453,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",unsure about use,0,453,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",use later,0,453,BDIR61FL.DTA,Bangladesh,2011
"Not Married, Sexually Active",,0,453,BDIR61FL.DTA,Bangladesh,2011
All Never Users,does not intend,0.371629615,2639,BJIR71FL.DTA,Benin,2017
All Never Users,unsure about use,0.093569159,2639,BJIR71FL.DTA,Benin,2017
All Never Users,use later,0.534801226,2639,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",does not intend,0.881000811,170,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",unsure about use,0.014384342,170,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",use later,0.104614847,170,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",does not intend,0.337195924,1580,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",unsure about use,0.112992062,1580,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",use later,0.549812014,1580,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",does not intend,0.31694581,513,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",unsure about use,0.054794474,513,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",use later,0.628259716,513,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",does not intend,0.435862539,217,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",unsure about use,0.113223894,217,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",use later,0.450913567,217,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",does not intend,0.291508504,159,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",unsure about use,0.086832781,159,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",use later,0.621658716,159,BJIR71FL.DTA,Benin,2017
All Never Users,does not intend,0.385813367,2253,BJIR61FL.DTA,Benin,2011
All Never Users,unsure about use,0.210655163,2253,BJIR61FL.DTA,Benin,2011
All Never Users,use later,0.40353147,2253,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",does not intend,0.815054717,231,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",unsure about use,0.082439512,231,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",use later,0.102505772,231,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",does not intend,0.354338131,1075,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",unsure about use,0.225736595,1075,BJIR61FL.DTA,Benin,2011
