Group,Intention,Freq,N,SurveyName,Country,StartYear
All Never Users,Does Not Intend,0.473752872,20424,AFIR70FL.DTA,Afghanistan,2015
All Never Users,Unsure About Use,0.352278192,20424,AFIR70FL.DTA,Afghanistan,2015
All Never Users,Use Later,0.173968935,20424,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",Does Not Intend,0.840193081,5182,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",Unsure About Use,0.122829879,5182,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",Use Later,0.03697704,5182,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.300376593,12254,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.448627962,12254,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",Use Later,0.250995444,12254,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",Does Not Intend,0.491373916,2798,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",Unsure About Use,0.391851827,2798,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",Use Later,0.116774258,2798,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",Does Not Intend,0.692016073,159,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",Unsure About Use,0.271601604,159,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",Use Later,0.036382323,159,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",Does Not Intend,0.724059525,31,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",Unsure About Use,0.275940475,31,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",Use Later,0,31,AFIR70FL.DTA,Afghanistan,2015
All Never Users,Does Not Intend,0.481042567,11627,AOIR71FL.DTA,Angola,2015
All Never Users,Unsure About Use,0.220145148,11627,AOIR71FL.DTA,Angola,2015
All Never Users,Use Later,0.298812285,11627,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",Does Not Intend,0.709244545,2130,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",Unsure About Use,0.129200541,2130,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",Use Later,0.161554914,2130,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.475239073,4149,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.205956483,4149,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",Use Later,0.318804443,4149,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",Does Not Intend,0.591466328,904,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",Unsure About Use,0.177193391,904,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",Use Later,0.231340281,904,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",Does Not Intend,0.335313946,2620,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",Unsure About Use,0.296321699,2620,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",Use Later,0.368364355,2620,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",Does Not Intend,0.401529533,1824,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",Unsure About Use,0.259703021,1824,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",Use Later,0.338767447,1824,AOIR71FL.DTA,Angola,2015
All Never Users,Does Not Intend,0.216995749,3072,AMIR71FL.DTA,Armenia,2015
All Never Users,Unsure About Use,0.554536099,3072,AMIR71FL.DTA,Armenia,2015
All Never Users,Use Later,0.228468152,3072,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",Does Not Intend,0.72937373,635,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",Unsure About Use,0.239441089,635,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",Use Later,0.031185181,635,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.119291321,359,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.521046057,359,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",Use Later,0.359662622,359,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",Does Not Intend,0.112392513,164,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",Unsure About Use,0.531583407,164,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",Use Later,0.356024081,164,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",Does Not Intend,0.085769165,1911,AMIR71FL.DTA,Armenia,2015
