Var1,Freq,SurveyName,Country,StartYear
Current User,0.218965366,AFIR70FL.DTA,Afghanistan,2015
Former User,0.11993778,AFIR70FL.DTA,Afghanistan,2015
Never Used,0.661096854,AFIR70FL.DTA,Afghanistan,2015
Current User,0.133094954,AOIR71FL.DTA,Angola,2015
Former User,0.109915116,AOIR71FL.DTA,Angola,2015
Never Used,0.756989929,AOIR71FL.DTA,Angola,2015
Current User,0.367160955,AMIR71FL.DTA,Armenia,2015
Former User,0.12124021,AMIR71FL.DTA,Armenia,2015
Never Used,0.511598834,AMIR71FL.DTA,Armenia,2015
Current User,0.338762863,AMIR61FL.DTA,Armenia,2010
Former User,0.126027743,AMIR61FL.DTA,Armenia,2010
Never Used,0.535209394,AMIR61FL.DTA,Armenia,2010
Current User,0.583403745,BDIR7RFL.DTA,Bangladesh,2017
Former User,0.303739301,BDIR7RFL.DTA,Bangladesh,2017
Never Used,0.112856954,BDIR7RFL.DTA,Bangladesh,2017
Current User,0.589326805,BDIR72FL.DTA,Bangladesh,2014
Former User,0.226653979,BDIR72FL.DTA,Bangladesh,2014
Never Used,0.184019217,BDIR72FL.DTA,Bangladesh,2014
Current User,0.573717043,BDIR61FL.DTA,Bangladesh,2011
Former User,0.248273224,BDIR61FL.DTA,Bangladesh,2011
Never Used,0.178009732,BDIR61FL.DTA,Bangladesh,2011
Current User,0.144129153,BJIR71FL.DTA,Benin,2017
Former User,0.166919087,BJIR71FL.DTA,Benin,2017
Never Used,0.68895176,BJIR71FL.DTA,Benin,2017
Current User,0.139969091,BJIR61FL.DTA,Benin,2011
Former User,0.138113113,BJIR61FL.DTA,Benin,2011
Never Used,0.721917796,BJIR61FL.DTA,Benin,2011
Current User,0.152794404,BFIR62FL.DTA,Burkina Faso,2010
Former User,0.083209145,BFIR62FL.DTA,Burkina Faso,2010
Never Used,0.763996451,BFIR62FL.DTA,Burkina Faso,2010
Current User,0.178873587,BUIR70FL.DTA,Burundi,2016
Former User,0.17359158,BUIR70FL.DTA,Burundi,2016
Never Used,0.647534834,BUIR70FL.DTA,Burundi,2016
Current User,0.134049438,BUIR61FL.DTA,Burundi,2010
Former User,0.066933378,BUIR61FL.DTA,Burundi,2010
Never Used,0.799017184,BUIR61FL.DTA,Burundi,2010
Current User,0.385322477,KHIR73FL.DTA,Cambodia,2014
Former User,0.145719617,KHIR73FL.DTA,Cambodia,2014
Never Used,0.468957906,KHIR73FL.DTA,Cambodia,2014
Current User,0.236943274,CMIR61FL.DTA,Cameroon,2011
Former User,0.195214947,CMIR61FL.DTA,Cameroon,2011
Never Used,0.567841779,CMIR61FL.DTA,Cameroon,2011
Current User,0.053549651,TDIR71FL.DTA,Chad,2014
Former User,0.031993628,TDIR71FL.DTA,Chad,2014
Never Used,0.914456721,TDIR71FL.DTA,Chad,2014
Current User,0.136577117,KMIR61FL.DTA,Comoros,2012
Former User,0.082096086,KMIR61FL.DTA,Comoros,2012
Never Used,0.781326797,KMIR61FL.DTA,Comoros,2012
Current User,0.443422704,CGIR60FL.DTA,Congo,2011
Former User,0.214375044,CGIR60FL.DTA,Congo,2011
Never Used,0.342202253,CGIR60FL.DTA,Congo,2011
Current User,0.55078544,DRIR61FL.DTA,Dominican Republic,2013
Former User,0.210334303,DRIR61FL.DTA,Dominican Republic,2013
Never Used,0.238880257,DRIR61FL.DTA,Dominican Republic,2013
Current User,0.550216062,EGIR61FL.DTA,Egypt,2014
Former User,0.25532089,EGIR61FL.DTA,Egypt,2014
Never Used,0.194463048,EGIR61FL.DTA,Egypt,2014
Current User,0.253406294,ETIR70FL.DTA,Ethiopia,2016
Former User,0.17614571,ETIR70FL.DTA,Ethiopia,2016
Never Used,0.570447997,ETIR70FL.DTA,Ethiopia,2016
Current User,0.195797749,ETIR61FL.DTA,Ethiopia,2011
Former User,0.140400842,ETIR61FL.DTA,Ethiopia,2011
Never Used,0.663801409,ETIR61FL.DTA,Ethiopia,2011
Current User,0.336094434,GAIR60FL.DTA,Gabon,2012
Former User,0.193411265,GAIR60FL.DTA,Gabon,2012
Never Used,0.470494301,GAIR60FL.DTA,Gabon,2012
Current User,0.13419265,GMIR81FL.DTA,Gambia,2019
Former User,0.185511616,GMIR81FL.DTA,Gambia,2019
Never Used,0.680295734,GMIR81FL.DTA,Gambia,2019
Current User,0.071251596,GMIR60FL.DTA,Gambia,2013
Former User,0.083411425,GMIR60FL.DTA,Gambia,2013
Never Used,0.845336978,GMIR60FL.DTA,Gambia,2013
Current User,0.228075698,GHIR72FL.DTA,Ghana,2014
Former User,0.212311558,GHIR72FL.DTA,Ghana,2014
Never Used,0.559612744,GHIR72FL.DTA,Ghana,2014
Current User,0.394058892,GUIR71FL.DTA,Guatemala,2014
Former User,0.156301118,GUIR71FL.DTA,Guatemala,2014
Never Used,0.44963999,GUIR71FL.DTA,Guatemala,2014
Current User,0.117635412,GNIR71FL.DTA,Guinea,2018
Former User,0.089525419,GNIR71FL.DTA,Guinea,2018
Never Used,0.792839169,GNIR71FL.DTA,Guinea,2018
Current User,0.085020829,GNIR62FL.DTA,Guinea,2012
Former User,0.068407317,GNIR62FL.DTA,Guinea,2012
Never Used,0.846571853,GNIR62FL.DTA,Guinea,2012
Current User,0.488579858,HNIR62FL.DTA,Honduras,2011
Former User,0.234883672,HNIR62FL.DTA,Honduras,2011
Never Used,0.27653647,HNIR62FL.DTA,Honduras,2011
Current User,0.501198987,IAIR7DFL.DTA,India,2019
Former User,0.107972342,IAIR7DFL.DTA,India,2019
Never Used,0.390828671,IAIR7DFL.DTA,India,2019
Current User,0.407738854,IAIR73FL.DTA,India,2015
Former User,0.091734866,IAIR73FL.DTA,India,2015
Never Used,0.50052628,IAIR73FL.DTA,India,2015
Current User,0.460013894,IDIR71FL.DTA,Indonesia,2017
Former User,0.202667655,IDIR71FL.DTA,Indonesia,2017
Never Used,0.337318452,IDIR71FL.DTA,Indonesia,2017
Current User,0.456720465,IDIR63FL.DTA,Indonesia,2012
Former User,0.198561434,IDIR63FL.DTA,Indonesia,2012
Never Used,0.344718101,IDIR63FL.DTA,Indonesia,2012
Current User,0.481346755,JOIR72FL.DTA,Jordan,2017
Former User,0.210408565,JOIR72FL.DTA,Jordan,2017
Never Used,0.308244681,JOIR72FL.DTA,Jordan,2017
Current User,0.582805563,JOIR6CFL.DTA,Jordan,2012
Former User,0.229723748,JOIR6CFL.DTA,Jordan,2012
Never Used,0.187470689,JOIR6CFL.DTA,Jordan,2012
Current User,0.42594817,KEIR72FL.DTA,Kenya,2014
Former User,0.197520289,KEIR72FL.DTA,Kenya,2014
Never Used,0.376531541,KEIR72FL.DTA,Kenya,2014
Current User,0.24401351,KYIR61FL.DTA,Kyrgyz Republic,2012
Former User,0.13440677,KYIR61FL.DTA,Kyrgyz Republic,2012
Never Used,0.621579721,KYIR61FL.DTA,Kyrgyz Republic,2012
Current User,0.488796718,LSIR71FL.DTA,Lesotho,2014
Former User,0.222494084,LSIR71FL.DTA,Lesotho,2014
Never Used,0.288709198,LSIR71FL.DTA,Lesotho,2014
Current User,0.262488775,LBIR7AFL.DTA,Liberia,2019
Former User,0.270022451,LBIR7AFL.DTA,Liberia,2019
Never Used,0.467488774,LBIR7AFL.DTA,Liberia,2019
Current User,0.217258837,LBIR6AFL.DTA,Liberia,2013
Former User,0.146239303,LBIR6AFL.DTA,Liberia,2013
Never Used,0.63650186,LBIR6AFL.DTA,Liberia,2013
Current User,0.400661953,MDIR81FL.DTA,Madagascar,2021
Former User,0.236353346,MDIR81FL.DTA,Madagascar,2021
Never Used,0.362984702,MDIR81FL.DTA,Madagascar,2021
Current User,0.459514231,MWIR7AFL.DTA,Malawi,2015
Former User,0.230055538,MWIR7AFL.DTA,Malawi,2015
Never Used,0.310430231,MWIR7AFL.DTA,Malawi,2015
Current User,0.133282897,MVIR71FL.DTA,Maldives,2016
Former User,0.14490617,MVIR71FL.DTA,Maldives,2016
Never Used,0.721810933,MVIR71FL.DTA,Maldives,2016
Current User,0.161746537,MLIR7HFL.DTA,Mali,2018
Former User,0.140660975,MLIR7HFL.DTA,Mali,2018
Never Used,0.697592489,MLIR7HFL.DTA,Mali,2018
Current User,0.099927816,MLIR6AFL.DTA,Mali,2012
Former User,0.096294235,MLIR6AFL.DTA,Mali,2012
Never Used,0.80377795,MLIR6AFL.DTA,Mali,2012
Current User,0.089348628,MRIR71FL.DTA,Mauritania,2019
Former User,0.116792566,MRIR71FL.DTA,Mauritania,2019
Never Used,0.793858806,MRIR71FL.DTA,Mauritania,2019
Current User,0.123311615,MZIR62FL.DTA,Mozambique,2011
Former User,0.148840274,MZIR62FL.DTA,Mozambique,2011
Never Used,0.727848111,MZIR62FL.DTA,Mozambique,2011
Current User,0.407635994,NPIR7HFL.DTA,Nepal,2016
Former User,0.193761785,NPIR7HFL.DTA,Nepal,2016
Never Used,0.39860222,NPIR7HFL.DTA,Nepal,2016
Current User,0.381668286,NPIR60FL.DTA,Nepal,2011
Former User,0.181877106,NPIR60FL.DTA,Nepal,2011
Never Used,0.436454607,NPIR60FL.DTA,Nepal,2011
Current User,0.124991286,NIIR61FL.DTA,Niger,2012
Former User,0.147162324,NIIR61FL.DTA,Niger,2012
Never Used,0.727846391,NIIR61FL.DTA,Niger,2012
Current User,0.143005096,NGIR7AFL.DTA,Nigeria,2018
Former User,0.133630693,NGIR7AFL.DTA,Nigeria,2018
Never Used,0.723364211,NGIR7AFL.DTA,Nigeria,2018
Current User,0.159866107,NGIR6AFL.DTA,Nigeria,2013
Former User,0.080507801,NGIR6AFL.DTA,Nigeria,2013
Never Used,0.759626093,NGIR6AFL.DTA,Nigeria,2013
Current User,0.331126361,PKIR71FL.DTA,Pakistan,2017
Former User,0.11963946,PKIR71FL.DTA,Pakistan,2017
Never Used,0.549234179,PKIR71FL.DTA,Pakistan,2017
Current User,0.345894083,PHIR61FL.DTA,Philippines,2013
Former User,0.145210983,PHIR61FL.DTA,Philippines,2013
Never Used,0.508894934,PHIR61FL.DTA,Philippines,2013
Current User,0.38598371,RWIR81FL.DTA,Rwanda,2019
Former User,0.150457364,RWIR81FL.DTA,Rwanda,2019
Never Used,0.463558925,RWIR81FL.DTA,Rwanda,2019
Current User,0.308820657,RWIR70FL.DTA,Rwanda,2014
Former User,0.153220441,RWIR70FL.DTA,Rwanda,2014
Never Used,0.537958902,RWIR70FL.DTA,Rwanda,2014
Current User,0.286208015,RWIR61FL.DTA,Rwanda,2010
Former User,0.089021902,RWIR61FL.DTA,Rwanda,2010
Never Used,0.624770084,RWIR61FL.DTA,Rwanda,2010
Current User,0.188316166,SNIR8AFL.DTA,Senegal,2019
Former User,0.159388536,SNIR8AFL.DTA,Senegal,2019
Never Used,0.652295299,SNIR8AFL.DTA,Senegal,2019
Current User,0.194161964,SNIR80FL.DTA,Senegal,2018
Former User,0.165970072,SNIR80FL.DTA,Senegal,2018
Never Used,0.639867965,SNIR80FL.DTA,Senegal,2018
Current User,0.198994576,SNIR7ZFL.DTA,Senegal,2017
Former User,0.148171074,SNIR7ZFL.DTA,Senegal,2017
