"Method","Freq","SurveyName","Country","StartYear"
"Pill",0.303513267988131,"AFIR70FL.DTA","Afghanistan",2015
"IUD",0.0633242781405742,"AFIR70FL.DTA","Afghanistan",2015
"Injections",0.217986193194471,"AFIR70FL.DTA","Afghanistan",2015
"Male Condom",0.147298156185918,"AFIR70FL.DTA","Afghanistan",2015
"Female Sterilization",0.0827539269071076,"AFIR70FL.DTA","Afghanistan",2015
"Male Sterilization",0.00146592278294745,"AFIR70FL.DTA","Afghanistan",2015
"Periodic Abstinence",0.00212208635883902,"AFIR70FL.DTA","Afghanistan",2015
"Withdrawal",0.114420023695987,"AFIR70FL.DTA","Afghanistan",2015
"Other Traditional Method",0.00288664966279918,"AFIR70FL.DTA","Afghanistan",2015
"Implant",0.00719025993186419,"AFIR70FL.DTA","Afghanistan",2015
"Lactational Amenorrhea",0.0565225853800441,"AFIR70FL.DTA","Afghanistan",2015
"Other Modern Method",0.000516649771316723,"AFIR70FL.DTA","Afghanistan",2015
"Pill",0.194445554497505,"AOIR71FL.DTA","Angola",2015
"IUD",0.00907120416371439,"AOIR71FL.DTA","Angola",2015
"Injections",0.236407760011243,"AOIR71FL.DTA","Angola",2015
"Male Condom",0.435428670534551,"AOIR71FL.DTA","Angola",2015
"Female Sterilization",0.00222482257558255,"AOIR71FL.DTA","Angola",2015
"Male Sterilization",0.000217171594652054,"AOIR71FL.DTA","Angola",2015
"Periodic Abstinence",0.0267583660845201,"AOIR71FL.DTA","Angola",2015
"Withdrawal",0.0298963035197568,"AOIR71FL.DTA","Angola",2015
"Other Traditional Method",0.00675191842119498,"AOIR71FL.DTA","Angola",2015
"Implant",0.0389172885451327,"AOIR71FL.DTA","Angola",2015
"Lactational Amenorrhea",0.00264200855209123,"AOIR71FL.DTA","Angola",2015
"Female Condom",0.00441032177043926,"AOIR71FL.DTA","Angola",2015
"Emergency Contraception",0.00444055368335857,"AOIR71FL.DTA","Angola",2015
"Other Modern Method",0.0079127220888069,"AOIR71FL.DTA","Angola",2015
"Standard Days Method",0.000475333957452836,"AOIR71FL.DTA","Angola",2015
"Pill",0.0465945278771743,"AMIR71FL.DTA","Armenia",2015
"IUD",0.155477208647649,"AMIR71FL.DTA","Armenia",2015
"Injections",0.00305871676986261,"AMIR71FL.DTA","Armenia",2015
"Male Condom",0.260798359179395,"AMIR71FL.DTA","Armenia",2015
"Female Sterilization",0.0129879062836843,"AMIR71FL.DTA","Armenia",2015
"Periodic Abstinence",0.066778717470945,"AMIR71FL.DTA","Armenia",2015
"Withdrawal",0.433268721996745,"AMIR71FL.DTA","Armenia",2015
"Other Traditional Method",0.00602838612121714,"AMIR71FL.DTA","Armenia",2015
"Lactational Amenorrhea",0.0127113953033058,"AMIR71FL.DTA","Armenia",2015
"Other Modern Method",0.00229606035002121,"AMIR71FL.DTA","Armenia",2015
"Pill",0.0275303349815244,"AMIR61FL.DTA","Armenia",2010
"IUD",0.174678100409502,"AMIR61FL.DTA","Armenia",2010
"Male Condom",0.267999465719896,"AMIR61FL.DTA","Armenia",2010
"Female Sterilization",0.0058125437155566,"AMIR61FL.DTA","Armenia",2010
"Periodic Abstinence",0.0438670539620861,"AMIR61FL.DTA","Armenia",2010
"Withdrawal",0.44223020409215,"AMIR61FL.DTA","Armenia",2010
"Other",0.0138551040201812,"AMIR61FL.DTA","Armenia",2010
"Lactational Amenorrhea",0.0143031554363179,"AMIR61FL.DTA","Armenia",2010
"Foam Or Jelly",0.00216917279586725,"AMIR61FL.DTA","Armenia",2010
"Standard Days Method",0.00755486486691828,"AMIR61FL.DTA","Armenia",2010
"Pill",0.409986134030849,"BDIR7RFL.DTA","Bangladesh",2017
"IUD",0.00891363919724172,"BDIR7RFL.DTA","Bangladesh",2017
"Injections",0.173793812771242,"BDIR7RFL.DTA","Bangladesh",2017
"Male Condom",0.116052193718129,"BDIR7RFL.DTA","Bangladesh",2017
"Female Sterilization",0.0782091593448083,"BDIR7RFL.DTA","Bangladesh",2017
"Male Sterilization",0.0170894074585404,"BDIR7RFL.DTA","Bangladesh",2017
"Periodic Abstinence",0.11236856268364,"BDIR7RFL.DTA","Bangladesh",2017
"Withdrawal",0.0447460247413935,"BDIR7RFL.DTA","Bangladesh",2017
"Other Traditional Method",0.00376938879721209,"BDIR7RFL.DTA","Bangladesh",2017
"Implant",0.0344870606520763,"BDIR7RFL.DTA","Bangladesh",2017
"Lactational Amenorrhea",0.000230943481139028,"BDIR7RFL.DTA","Bangladesh",2017
"Emergency Contraception",0.000186902207894128,"BDIR7RFL.DTA","Bangladesh",2017
"Other Modern Method",0.000166770915833959,"BDIR7RFL.DTA","Bangladesh",2017
"Pill",0.432106352637219,"BDIR72FL.DTA","Bangladesh",2014
"IUD",0.0101279631542188,"BDIR72FL.DTA","Bangladesh",2014
"Injections",0.198898228616684,"BDIR72FL.DTA","Bangladesh",2014
"Male Condom",0.103192351361634,"BDIR72FL.DTA","Bangladesh",2014
"Female Sterilization",0.0736368880660656,"BDIR72FL.DTA","Bangladesh",2014
"Male Sterilization",0.0199868807956895,"BDIR72FL.DTA","Bangladesh",2014
"Periodic Abstinence",0.0997081244786838,"BDIR72FL.DTA","Bangladesh",2014
"Withdrawal",0.0304658373258103,"BDIR72FL.DTA","Bangladesh",2014
"Other",0.00421147537586892,"BDIR72FL.DTA","Bangladesh",2014
"Implant",0.027405076557903,"BDIR72FL.DTA","Bangladesh",2014
"Lactational Amenorrhea",0.000260821630223541,"BDIR72FL.DTA","Bangladesh",2014
"Pill",0.444994690639058,"BDIR61FL.DTA","Bangladesh",2011
"IUD",0.0119677761125097,"BDIR61FL.DTA","Bangladesh",2011
"Injections",0.182975520098512,"BDIR61FL.DTA","Bangladesh",2011
"Male Condom",0.0904334079164685,"BDIR61FL.DTA","Bangladesh",2011
"Female Sterilization",0.0810551230091901,"BDIR61FL.DTA","Bangladesh",2011
"Male Sterilization",0.0203561224407002,"BDIR61FL.DTA","Bangladesh",2011
"Periodic Abstinence",0.113105044596397,"BDIR61FL.DTA","Bangladesh",2011
"Withdrawal",0.0303506707755519,"BDIR61FL.DTA","Bangladesh",2011
"Other",0.00620897380954238,"BDIR61FL.DTA","Bangladesh",2011
"Implant",0.0185526706020693,"BDIR61FL.DTA","Bangladesh",2011
"Pill",0.0839992358773858,"BJIR71FL.DTA","Benin",2017
"IUD",0.0883274172296838,"BJIR71FL.DTA","Benin",2017
"Injections",0.131826229207563,"BJIR71FL.DTA","Benin",2017
"Male Condom",0.146329869606123,"BJIR71FL.DTA","Benin",2017
"Female Sterilization",0.00882545702593132,"BJIR71FL.DTA","Benin",2017
"Periodic Abstinence",0.104138233293054,"BJIR71FL.DTA","Benin",2017
"Withdrawal",0.0720090433393113,"BJIR71FL.DTA","Benin",2017
"Other Traditional Method",0.0140225495694146,"BJIR71FL.DTA","Benin",2017
"Implant",0.314555699232237,"BJIR71FL.DTA","Benin",2017
"Lactational Amenorrhea",0.00761503749176788,"BJIR71FL.DTA","Benin",2017
"Emergency Contraception",0.00528992261995512,"BJIR71FL.DTA","Benin",2017
