"Group","Decider","Freq","SurveyName","Country","StartYear"
"Current User","Mainly Respondent",0.167134950872678,"AFIR70FL.DTA","Afghanistan",2015
"Current User","Mainly Husband, Partner",0.113561435951093,"AFIR70FL.DTA","Afghanistan",2015
"Current User","Joint Decision",0.707941821057108,"AFIR70FL.DTA","Afghanistan",2015
"Current User","Other",0.0113617921191207,"AFIR70FL.DTA","Afghanistan",2015
"Current User","Mainly Respondent",0.248611287785398,"AOIR71FL.DTA","Angola",2015
"Current User","Mainly Husband, Partner",0.0970164761829184,"AOIR71FL.DTA","Angola",2015
"Current User","Joint Decision",0.65269115595189,"AOIR71FL.DTA","Angola",2015
"Current User","Other",0.00168108007979398,"AOIR71FL.DTA","Angola",2015
"Never User","Mainly Respondent",0.230634437934576,"AOIR71FL.DTA","Angola",2015
"Never User","Mainly Husband, Partner",0.265747943090922,"AOIR71FL.DTA","Angola",2015
"Never User","Joint Decision",0.451976869554275,"AOIR71FL.DTA","Angola",2015
"Never User","Other",0.0516407494202275,"AOIR71FL.DTA","Angola",2015
"Former User","Mainly Respondent",0.420909956329564,"AOIR71FL.DTA","Angola",2015
"Former User","Mainly Husband, Partner",0.118482085429414,"AOIR71FL.DTA","Angola",2015
"Former User","Joint Decision",0.441884387912541,"AOIR71FL.DTA","Angola",2015
"Former User","Other",0.0187235703284807,"AOIR71FL.DTA","Angola",2015
"Current User","Mainly Respondent",0.159537011133038,"AMIR71FL.DTA","Armenia",2015
"Current User","Mainly Husband, Partner",0.110998354805781,"AMIR71FL.DTA","Armenia",2015
"Current User","Joint Decision",0.728437948862363,"AMIR71FL.DTA","Armenia",2015
"Current User","Other",0.00102668519881855,"AMIR71FL.DTA","Armenia",2015
"Never User","Mainly Respondent",0.164316555966732,"AMIR71FL.DTA","Armenia",2015
"Never User","Mainly Husband, Partner",0.0402196313180625,"AMIR71FL.DTA","Armenia",2015
"Never User","Joint Decision",0.636404875606707,"AMIR71FL.DTA","Armenia",2015
"Never User","Other",0.159058937108498,"AMIR71FL.DTA","Armenia",2015
"Former User","Mainly Respondent",0.251167987866803,"AMIR71FL.DTA","Armenia",2015
"Former User","Mainly Husband, Partner",0.0110921879696429,"AMIR71FL.DTA","Armenia",2015
"Former User","Joint Decision",0.40713793181177,"AMIR71FL.DTA","Armenia",2015
"Former User","Other",0.330601892351783,"AMIR71FL.DTA","Armenia",2015
"Current User","Mainly Respondent",0.120888175363199,"AMIR61FL.DTA","Armenia",2010
"Current User","Mainly Husband, Partner",0.168665822764449,"AMIR61FL.DTA","Armenia",2010
"Current User","Joint Decision",0.703897620259515,"AMIR61FL.DTA","Armenia",2010
"Current User","Other",0.00270604034807573,"AMIR61FL.DTA","Armenia",2010
"Current User","Missing",0.00384234126476142,"AMIR61FL.DTA","Armenia",2010
"Current User","Mainly Respondent",0.155330514569835,"BDIR7RFL.DTA","Bangladesh",2017
"Current User","Mainly Husband, Partner",0.0675710725710878,"BDIR7RFL.DTA","Bangladesh",2017
"Current User","Joint Decision",0.775575313545909,"BDIR7RFL.DTA","Bangladesh",2017
"Current User","Other",0.00152309931316834,"BDIR7RFL.DTA","Bangladesh",2017
"Never User","Mainly Respondent",0.244693586413043,"BDIR7RFL.DTA","Bangladesh",2017
"Never User","Mainly Husband, Partner",0.0611399147900932,"BDIR7RFL.DTA","Bangladesh",2017
"Never User","Joint Decision",0.678448471327397,"BDIR7RFL.DTA","Bangladesh",2017
"Never User","Other",0.0157180274694668,"BDIR7RFL.DTA","Bangladesh",2017
"Former User","Mainly Respondent",0.335321363921017,"BDIR7RFL.DTA","Bangladesh",2017
"Former User","Mainly Husband, Partner",0.0447629411207241,"BDIR7RFL.DTA","Bangladesh",2017
"Former User","Joint Decision",0.615303551829733,"BDIR7RFL.DTA","Bangladesh",2017
"Former User","Other",0.00461214312852617,"BDIR7RFL.DTA","Bangladesh",2017
"Current User","Mainly Respondent",0.144697666592541,"BDIR72FL.DTA","Bangladesh",2014
"Current User","Mainly Husband, Partner",0.0888190034939444,"BDIR72FL.DTA","Bangladesh",2014
"Current User","Joint Decision",0.765854243720132,"BDIR72FL.DTA","Bangladesh",2014
"Current User","Other",0.000629086193382246,"BDIR72FL.DTA","Bangladesh",2014
"Current User","Mainly Respondent",0.112845224299984,"BDIR61FL.DTA","Bangladesh",2011
"Current User","Mainly Husband, Partner",0.0685257946819949,"BDIR61FL.DTA","Bangladesh",2011
"Current User","Joint Decision",0.81395755217626,"BDIR61FL.DTA","Bangladesh",2011
"Current User","Other",0.000786858484646436,"BDIR61FL.DTA","Bangladesh",2011
"Current User","Missing",0.0038845703571148,"BDIR61FL.DTA","Bangladesh",2011
"Current User","Mainly Respondent",0.463424506317607,"BJIR71FL.DTA","Benin",2017
"Current User","Mainly Husband, Partner",0.108868045030851,"BJIR71FL.DTA","Benin",2017
"Current User","Joint Decision",0.424757727090771,"BJIR71FL.DTA","Benin",2017
"Current User","Other",0.00294972156077061,"BJIR71FL.DTA","Benin",2017
"Never User","Mainly Respondent",0.610428404810142,"BJIR71FL.DTA","Benin",2017
"Never User","Mainly Husband, Partner",0.146114219980086,"BJIR71FL.DTA","Benin",2017
"Never User","Joint Decision",0.19326928763889,"BJIR71FL.DTA","Benin",2017
"Never User","Other",0.050188087570882,"BJIR71FL.DTA","Benin",2017
"Former User","Mainly Respondent",0.552553535230442,"BJIR71FL.DTA","Benin",2017
"Former User","Mainly Husband, Partner",0.172790189617339,"BJIR71FL.DTA","Benin",2017
"Former User","Joint Decision",0.201753679211048,"BJIR71FL.DTA","Benin",2017
"Former User","Other",0.0729025959411714,"BJIR71FL.DTA","Benin",2017
"Current User","Mainly Respondent",0.377141564302858,"BJIR61FL.DTA","Benin",2011
"Current User","Mainly Husband, Partner",0.188985826285069,"BJIR61FL.DTA","Benin",2011
"Current User","Joint Decision",0.42927953418118,"BJIR61FL.DTA","Benin",2011
"Current User","Other",0.004593075230893,"BJIR61FL.DTA","Benin",2011
"Current User","Mainly Respondent",0.235774888804788,"BFIR62FL.DTA","Burkina Faso",2010
"Current User","Mainly Husband, Partner",0.0829119604736307,"BFIR62FL.DTA","Burkina Faso",2010
"Current User","Joint Decision",0.666377505094954,"BFIR62FL.DTA","Burkina Faso",2010
"Current User","Other",0.00579797740434848,"BFIR62FL.DTA","Burkina Faso",2010
"Current User","Missing",0.00913766822227878,"BFIR62FL.DTA","Burkina Faso",2010
"Current User","Mainly Respondent",0.117069050677243,"BUIR70FL.DTA","Burundi",2016
"Current User","Mainly Husband, Partner",0.0610634533995166,"BUIR70FL.DTA","Burundi",2016
"Current User","Joint Decision",0.819084492562302,"BUIR70FL.DTA","Burundi",2016
"Current User","Other",0.00278300336093817,"BUIR70FL.DTA","Burundi",2016
"Never User","Mainly Respondent",0.272390720716189,"BUIR70FL.DTA","Burundi",2016
