"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"All Never Users","does not intend",0.273559678904878,3185,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","unsure about use",0.244163390838239,3185,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","use later",0.482276930256882,3185,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","does not intend",0.907522373593453,347,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","unsure about use",0.0567123295012898,347,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","use later",0.035765296905257,347,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","does not intend",0.164018998487424,2498,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","unsure about use",0.271857388465903,2498,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","use later",0.564123613046674,2498,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","does not intend",0.325141800000931,322,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","unsure about use",0.261755260567372,322,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","use later",0.413102939431697,322,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","does not intend",0.841906699163142,13,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","unsure about use",0.158093300836858,13,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","use later",0,13,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","does not intend",0.324524242844468,5,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","unsure about use",0.675475757155532,5,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","use later",0,5,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","does not intend",0.260146502468182,1292,"AOIR71FL.DTA","Angola",2015
"All Never Users","unsure about use",0.103973540692512,1292,"AOIR71FL.DTA","Angola",2015
"All Never Users","use later",0.635879956839306,1292,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","does not intend",0.573434098681323,119,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","unsure about use",0.0860285238701453,119,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","use later",0.340537377448531,119,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years","does not intend",0.24678768408076,631,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years","unsure about use",0.093305483742613,631,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years","use later",0.659906832176627,631,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years","does not intend",0.311164349644737,90,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years","unsure about use",0.097812298782045,90,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years","use later",0.591023351573218,90,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active","does not intend",0.239395395302731,218,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active","unsure about use",0.134835792072338,218,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active","use later",0.625768812624931,218,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active","does not intend",0.0954049579544816,234,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active","unsure about use",0.117457007108914,234,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active","use later",0.787138034936604,234,"AOIR71FL.DTA","Angola",2015
"All Never Users","does not intend",0.515909569386021,752,"AMIR71FL.DTA","Armenia",2015
"All Never Users","unsure about use",0.220537477136751,752,"AMIR71FL.DTA","Armenia",2015
"All Never Users","use later",0.263552953477227,752,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","does not intend",0.985908709539508,223,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","unsure about use",0.0119800927156917,223,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal","use later",0.00211119774480062,223,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","does not intend",0.308533376906602,348,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","unsure about use",0.296277327188432,348,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years","use later",0.395189295904965,348,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years","does not intend",0.0851653437275551,65,"AMIR71FL.DTA","Armenia",2015
