"Time_Since_Use","Freq","SurveyName","Country","StartYear"
"1 Year",0.143993008816452,"AFIR70FL.DTA","Afghanistan",2015
"2 Year",0.103210587638634,"AFIR70FL.DTA","Afghanistan",2015
"3 Year",0.0802373802666238,"AFIR70FL.DTA","Afghanistan",2015
"4 Year",0.0624094786885155,"AFIR70FL.DTA","Afghanistan",2015
"5+ Years",0.339228063615327,"AFIR70FL.DTA","Afghanistan",2015
"Under a Year",0.270921480974448,"AFIR70FL.DTA","Afghanistan",2015
"1 Year",0.0418566962243944,"AOIR71FL.DTA","Angola",2015
"2 Year",0.0794397844627284,"AOIR71FL.DTA","Angola",2015
"3 Year",0.0408282973729701,"AOIR71FL.DTA","Angola",2015
"4 Year",0.0610419075463046,"AOIR71FL.DTA","Angola",2015
"5+ Years",0.64883029990705,"AOIR71FL.DTA","Angola",2015
"Under a Year",0.128003014486552,"AOIR71FL.DTA","Angola",2015
"1 Year",0.0657286542692473,"AMIR71FL.DTA","Armenia",2015
"2 Year",0.0594546490828367,"AMIR71FL.DTA","Armenia",2015
"3 Year",0.0480387819301991,"AMIR71FL.DTA","Armenia",2015
"4 Year",0.0322251717410584,"AMIR71FL.DTA","Armenia",2015
"5+ Years",0.540532129160941,"AMIR71FL.DTA","Armenia",2015
"Under a Year",0.254020613815717,"AMIR71FL.DTA","Armenia",2015
"1 Year",0.0802673748663407,"BDIR7RFL.DTA","Bangladesh",2017
"2 Year",0.0673103492607929,"BDIR7RFL.DTA","Bangladesh",2017
"3 Year",0.0599063235526098,"BDIR7RFL.DTA","Bangladesh",2017
"4 Year",0.0602458106204174,"BDIR7RFL.DTA","Bangladesh",2017
"5+ Years",0.310192736583067,"BDIR7RFL.DTA","Bangladesh",2017
"Under a Year",0.417591566965797,"BDIR7RFL.DTA","Bangladesh",2017
"yes, used in calendar",0.00448583815097552,"BDIR7RFL.DTA","Bangladesh",2017
"1 Year",0.0803397520541425,"BDIR72FL.DTA","Bangladesh",2014
"2 Year",0.0680519399549846,"BDIR72FL.DTA","Bangladesh",2014
"3 Year",0.0736682619716219,"BDIR72FL.DTA","Bangladesh",2014
"4 Year",0.0681463777043541,"BDIR72FL.DTA","Bangladesh",2014
"5+ Years",0.303349581068617,"BDIR72FL.DTA","Bangladesh",2014
"Under a Year",0.390479594571494,"BDIR72FL.DTA","Bangladesh",2014
"yes, used in calendar",0.0159644926747861,"BDIR72FL.DTA","Bangladesh",2014
"1 Year",0.0818098695349662,"BDIR61FL.DTA","Bangladesh",2011
"2 Year",0.0776447977094612,"BDIR61FL.DTA","Bangladesh",2011
"3 Year",0.0808636997550901,"BDIR61FL.DTA","Bangladesh",2011
"4 Year",0.0702519923155317,"BDIR61FL.DTA","Bangladesh",2011
"5+ Years",0.253111076600211,"BDIR61FL.DTA","Bangladesh",2011
"Under a Year",0.43631856408474,"BDIR61FL.DTA","Bangladesh",2011
"1 Year",0.0844661722788872,"BJIR71FL.DTA","Benin",2017
"2 Year",0.0927902706942385,"BJIR71FL.DTA","Benin",2017
"3 Year",0.092480847307916,"BJIR71FL.DTA","Benin",2017
"4 Year",0.0791967788195751,"BJIR71FL.DTA","Benin",2017
"5+ Years",0.476839346785424,"BJIR71FL.DTA","Benin",2017
"Under a Year",0.17422658411396,"BJIR71FL.DTA","Benin",2017
"1 Year",0.0628541029644678,"BJIR61FL.DTA","Benin",2011
"2 Year",0.0634428452527182,"BJIR61FL.DTA","Benin",2011
"3 Year",0.0708963357515123,"BJIR61FL.DTA","Benin",2011
"4 Year",0.0716464353409596,"BJIR61FL.DTA","Benin",2011
"5+ Years",0.321570869906328,"BJIR61FL.DTA","Benin",2011
"Under a Year",0.409589410784014,"BJIR61FL.DTA","Benin",2011
"1 Year",0.131697644354439,"BFIR62FL.DTA","Burkina Faso",2010
"2 Year",0.157815150582796,"BFIR62FL.DTA","Burkina Faso",2010
"3 Year",0.148408896152348,"BFIR62FL.DTA","Burkina Faso",2010
"4 Year",0.101206140020957,"BFIR62FL.DTA","Burkina Faso",2010
"5+ Years",0.20273888206411,"BFIR62FL.DTA","Burkina Faso",2010
"Under a Year",0.258133286825351,"BFIR62FL.DTA","Burkina Faso",2010
"1 Year",0.14877062424196,"BUIR70FL.DTA","Burundi",2016
"2 Year",0.13856441413406,"BUIR70FL.DTA","Burundi",2016
"3 Year",0.119390039920585,"BUIR70FL.DTA","Burundi",2016
"4 Year",0.0797027668963263,"BUIR70FL.DTA","Burundi",2016
"5+ Years",0.293583990705865,"BUIR70FL.DTA","Burundi",2016
"Under a Year",0.219988164101204,"BUIR70FL.DTA","Burundi",2016
"1 Year",0.0897552775566526,"KHIR73FL.DTA","Cambodia",2014
"2 Year",0.0917001563017924,"KHIR73FL.DTA","Cambodia",2014
"3 Year",0.0927107122257684,"KHIR73FL.DTA","Cambodia",2014
"4 Year",0.0711384423805371,"KHIR73FL.DTA","Cambodia",2014
"5+ Years",0.373259018345358,"KHIR73FL.DTA","Cambodia",2014
"Under a Year",0.281436393189892,"KHIR73FL.DTA","Cambodia",2014
"1 Year",0.0656854371484286,"KMIR61FL.DTA","Comoros",2012
"2 Year",0.103582364592023,"KMIR61FL.DTA","Comoros",2012
"3 Year",0.0701618865684236,"KMIR61FL.DTA","Comoros",2012
"4 Year",0.0545748502905319,"KMIR61FL.DTA","Comoros",2012
"5+ Years",0.53683234775964,"KMIR61FL.DTA","Comoros",2012
"Under a Year",0.169163113640953,"KMIR61FL.DTA","Comoros",2012
"1 Year",0.0846354949789974,"EGIR61FL.DTA","Egypt",2014
"2 Year",0.0924611154623761,"EGIR61FL.DTA","Egypt",2014
"3 Year",0.0798497322171474,"EGIR61FL.DTA","Egypt",2014
"4 Year",0.0617122074077785,"EGIR61FL.DTA","Egypt",2014
"5+ Years",0.238950868837988,"EGIR61FL.DTA","Egypt",2014
"Under a Year",0.442390581095713,"EGIR61FL.DTA","Egypt",2014
"1 Year",0.115430800892859,"ETIR70FL.DTA","Ethiopia",2016
"2 Year",0.154315662522004,"ETIR70FL.DTA","Ethiopia",2016
"3 Year",0.102368495578177,"ETIR70FL.DTA","Ethiopia",2016
"4 Year",0.0725663740359646,"ETIR70FL.DTA","Ethiopia",2016
"5+ Years",0.209905644909037,"ETIR70FL.DTA","Ethiopia",2016
"Under a Year",0.345413022061958,"ETIR70FL.DTA","Ethiopia",2016
"1 Year",0.0962627691971569,"GMIR81FL.DTA","Gambia",2019
"2 Year",0.102481466281911,"GMIR81FL.DTA","Gambia",2019
"3 Year",0.101318928709799,"GMIR81FL.DTA","Gambia",2019
"4 Year",0.0803655498403969,"GMIR81FL.DTA","Gambia",2019
"5+ Years",0.469262935307183,"GMIR81FL.DTA","Gambia",2019
"Under a Year",0.150308350663554,"GMIR81FL.DTA","Gambia",2019
"1 Year",0.0707049394042453,"GMIR60FL.DTA","Gambia",2013
"2 Year",0.0667255692695311,"GMIR60FL.DTA","Gambia",2013
"3 Year",0.0724296496898513,"GMIR60FL.DTA","Gambia",2013
"4 Year",0.0353836213938194,"GMIR60FL.DTA","Gambia",2013
"5+ Years",0.622922364080707,"GMIR60FL.DTA","Gambia",2013
"Under a Year",0.131833856161846,"GMIR60FL.DTA","Gambia",2013
"1 Year",0.061963718087783,"GHIR72FL.DTA","Ghana",2014
"2 Year",0.0744868198600194,"GHIR72FL.DTA","Ghana",2014
