"Var1","Freq","WhyDisc","SurveyName","Country","StartYear"
"All Former Users",0.0837206514108759,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.54638030493095,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0366295385520805,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.150102101963814,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0042445972174182,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.00505511199809303,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.00709164921194861,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0125751720002027,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.00596037443042965,"Cost","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0220516790409972,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0125532318585616,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.113552810725095,"Other","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0000827766595337932,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.00893914105387668,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.0962019465215063,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0307000122284326,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0.0507853168527578,"Became Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.189440499794036,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.571266756925138,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.549592600306606,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0.212546896199759,"Wanted To Become Pregnant","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.00617399275722565,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.0405136454766765,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0255413960958861,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Husband Disapproved","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.384419449060398,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.144049038590986,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0872605210900877,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Side Effects","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.00299396849994794,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.017008836997061,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Access, Availability","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.00505478499446472,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.00575205768992964,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Wanted More Effective Method","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.00677419878737404,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.00715426061460553,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0075233785047329,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Inconvenient To Use","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.026481118929997,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.00796337095310466,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0427383870132693,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0.263793772306419,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Infrequent Sex, Husband Away","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.0317389471175711,"Cost","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.00453851276638141,"Cost","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.00434468383634976,"Cost","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Cost","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Cost","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.0062564544639641,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.0249016122558321,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.00944616589231485,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Fatalistic","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.228767035319035,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Difficult Pregnancy, Menopause","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.105954377722058,"Other","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.0945651724914569,"Other","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.22584401803526,"Other","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0.736206227693581,"Other","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0.736667786947484,"Other","AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.0000996572144358018,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0,"Don't Know","AFIR70FL.DTA","Afghanistan",2015
"All Former Users",0.0456827118055221,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"All Former Users",0.201634974776133,"Wanted To Become Pregnant","AOIR71FL.DTA","Angola",2015
"All Former Users",0.101695606851251,"Husband Disapproved","AOIR71FL.DTA","Angola",2015
"All Former Users",0.292513010987801,"Side Effects","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0108197627532701,"Access, Availability","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0437258029692103,"Wanted More Effective Method","AOIR71FL.DTA","Angola",2015
"All Former Users",0.043733227280039,"Inconvenient To Use","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0853901487338156,"Infrequent Sex, Husband Away","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0222000558903583,"Cost","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0106201848331697,"Fatalistic","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0264427638221431,"Difficult Pregnancy, Menopause","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0302260490553234,"Marital Dissolution","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0737220501844532,"Other","AOIR71FL.DTA","Angola",2015
"All Former Users",0.0115936500575107,"Don't Know","AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal",0.0406020173306228,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years",0.0472522732945939,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years",0,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active",0.0102799465832098,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active",0.0867929409593483,"Became Pregnant","AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal",0.0778517275903281,"Wanted To Become Pregnant","AOIR71FL.DTA","Angola",2015
