"Method","Var","Freq","SurveyName","Country","StartYear"
"Pill","Method Information Index",0.264749505865488,"AFIR70FL.DTA","Afghanistan",2015
"IUD","Method Information Index",0.483620686654914,"AFIR70FL.DTA","Afghanistan",2015
"Injections","Method Information Index",0.459027249963605,"AFIR70FL.DTA","Afghanistan",2015
"Female Sterilization","Method Information Index",0.284678031589592,"AFIR70FL.DTA","Afghanistan",2015
"Implant","Method Information Index",0.621186899082074,"AFIR70FL.DTA","Afghanistan",2015
"Pill","Told About Other Methods",0.455500701627679,"AFIR70FL.DTA","Afghanistan",2015
"IUD","Told About Other Methods",0.671273024901504,"AFIR70FL.DTA","Afghanistan",2015
"Injections","Told About Other Methods",0.647856201106517,"AFIR70FL.DTA","Afghanistan",2015
"Female Sterilization","Told About Other Methods",0.410440191096968,"AFIR70FL.DTA","Afghanistan",2015
"Implant","Told About Other Methods",0.721988241885168,"AFIR70FL.DTA","Afghanistan",2015
"Pill","Told About Side Effects",0.382451250121083,"AFIR70FL.DTA","Afghanistan",2015
"IUD","Told About Side Effects",0.614715770602768,"AFIR70FL.DTA","Afghanistan",2015
"Injections","Told About Side Effects",0.578676856396264,"AFIR70FL.DTA","Afghanistan",2015
"Female Sterilization","Told About Side Effects",0.495976592136836,"AFIR70FL.DTA","Afghanistan",2015
"Implant","Told About Side Effects",0.834993256486479,"AFIR70FL.DTA","Afghanistan",2015
"Pill","Told What to Do About Side Effects",0.300617359650036,"AFIR70FL.DTA","Afghanistan",2015
"IUD","Told What to Do About Side Effects",0.532680392994535,"AFIR70FL.DTA","Afghanistan",2015
"Injections","Told What to Do About Side Effects",0.500222989630843,"AFIR70FL.DTA","Afghanistan",2015
"Female Sterilization","Told What to Do About Side Effects",0.402820192379124,"AFIR70FL.DTA","Afghanistan",2015
"Implant","Told What to Do About Side Effects",0.71881942678469,"AFIR70FL.DTA","Afghanistan",2015
"Total","Method Information Index",0.355755199489204,"AFIR70FL.DTA","Afghanistan",2015
"Total","Told About Other Methods",0.540044081978785,"AFIR70FL.DTA","Afghanistan",2015
"Total","Told About Side Effects",0.482989490766595,"AFIR70FL.DTA","Afghanistan",2015
"Total","Told What to Do About Side Effects",0.401097465343347,"AFIR70FL.DTA","Afghanistan",2015
"Pill","Method Information Index",0.373213927543422,"AOIR71FL.DTA","Angola",2015
"IUD","Method Information Index",0.188536139081208,"AOIR71FL.DTA","Angola",2015
"Injections","Method Information Index",0.506067151318885,"AOIR71FL.DTA","Angola",2015
"Female Sterilization","Method Information Index",0.725638994260916,"AOIR71FL.DTA","Angola",2015
"Implant","Method Information Index",0.68862465393997,"AOIR71FL.DTA","Angola",2015
"Pill","Told About Other Methods",0.608945783088995,"AOIR71FL.DTA","Angola",2015
"IUD","Told About Other Methods",0.784234649893539,"AOIR71FL.DTA","Angola",2015
"Injections","Told About Other Methods",0.670258314859781,"AOIR71FL.DTA","Angola",2015
"Female Sterilization","Told About Other Methods",0.725638994260916,"AOIR71FL.DTA","Angola",2015
"Implant","Told About Other Methods",0.859876035216684,"AOIR71FL.DTA","Angola",2015
"Pill","Told About Side Effects",0.553533988449517,"AOIR71FL.DTA","Angola",2015
"IUD","Told About Side Effects",0.575502778797817,"AOIR71FL.DTA","Angola",2015
"Injections","Told About Side Effects",0.721614820606172,"AOIR71FL.DTA","Angola",2015
"Female Sterilization","Told About Side Effects",1,"AOIR71FL.DTA","Angola",2015
"Implant","Told About Side Effects",0.834414020929992,"AOIR71FL.DTA","Angola",2015
"Pill","Told What to Do About Side Effects",0.451952055603538,"AOIR71FL.DTA","Angola",2015
"IUD","Told What to Do About Side Effects",0.188536139081208,"AOIR71FL.DTA","Angola",2015
"Injections","Told What to Do About Side Effects",0.617164596436658,"AOIR71FL.DTA","Angola",2015
"Female Sterilization","Told What to Do About Side Effects",0.725638994260916,"AOIR71FL.DTA","Angola",2015
"Implant","Told What to Do About Side Effects",0.743465688581534,"AOIR71FL.DTA","Angola",2015
"Total","Method Information Index",0.462806020962989,"AOIR71FL.DTA","Angola",2015
"Total","Told About Other Methods",0.656987417692159,"AOIR71FL.DTA","Angola",2015
"Total","Told About Side Effects",0.661344666408163,"AOIR71FL.DTA","Angola",2015
"Total","Told What to Do About Side Effects",0.553847036671014,"AOIR71FL.DTA","Angola",2015
"Pill","Method Information Index",0.540388047761828,"AMIR71FL.DTA","Armenia",2015
"IUD","Method Information Index",0.614908821012129,"AMIR71FL.DTA","Armenia",2015
"Injections","Method Information Index",1,"AMIR71FL.DTA","Armenia",2015
"Female Sterilization","Method Information Index",0.678418067096845,"AMIR71FL.DTA","Armenia",2015
"Pill","Told About Other Methods",0.659638367836975,"AMIR71FL.DTA","Armenia",2015
"IUD","Told About Other Methods",0.640336180047583,"AMIR71FL.DTA","Armenia",2015
"Injections","Told About Other Methods",1,"AMIR71FL.DTA","Armenia",2015
"Female Sterilization","Told About Other Methods",0.678418067096845,"AMIR71FL.DTA","Armenia",2015
"Pill","Told About Side Effects",0.641399612432522,"AMIR71FL.DTA","Armenia",2015
"IUD","Told About Side Effects",0.939451372843,"AMIR71FL.DTA","Armenia",2015
"Injections","Told About Side Effects",1,"AMIR71FL.DTA","Armenia",2015
"Female Sterilization","Told About Side Effects",0.773683157124405,"AMIR71FL.DTA","Armenia",2015
"Pill","Told What to Do About Side Effects",0.600764884348835,"AMIR71FL.DTA","Armenia",2015
"IUD","Told What to Do About Side Effects",0.923157220098561,"AMIR71FL.DTA","Armenia",2015
"Injections","Told What to Do About Side Effects",1,"AMIR71FL.DTA","Armenia",2015
"Female Sterilization","Told What to Do About Side Effects",0.773683157124405,"AMIR71FL.DTA","Armenia",2015
"Total","Method Information Index",0.609313058490696,"AMIR71FL.DTA","Armenia",2015
"Total","Told About Other Methods",0.645423232688911,"AMIR71FL.DTA","Armenia",2015
"Total","Told About Side Effects",0.866390540138689,"AMIR71FL.DTA","Armenia",2015
"Total","Told What to Do About Side Effects",0.845544441228965,"AMIR71FL.DTA","Armenia",2015
"Pill","Method Information Index",0.276470341865065,"AMIR61FL.DTA","Armenia",2010
"IUD","Method Information Index",0.403178028739338,"AMIR61FL.DTA","Armenia",2010
"Female Sterilization","Method Information Index",0.361608060423402,"AMIR61FL.DTA","Armenia",2010
"Pill","Told About Other Methods",0.595136081208069,"AMIR61FL.DTA","Armenia",2010
"IUD","Told About Other Methods",0.463687430668684,"AMIR61FL.DTA","Armenia",2010
"Female Sterilization","Told About Other Methods",0.361608060423402,"AMIR61FL.DTA","Armenia",2010
"Pill","Told About Side Effects",0.420064287361794,"AMIR61FL.DTA","Armenia",2010
"IUD","Told About Side Effects",0.797032443168946,"AMIR61FL.DTA","Armenia",2010
"Female Sterilization","Told About Side Effects",0.728288461427641,"AMIR61FL.DTA","Armenia",2010
"Pill","Told What to Do About Side Effects",0.317167203181216,"AMIR61FL.DTA","Armenia",2010
"IUD","Told What to Do About Side Effects",0.723392233353662,"AMIR61FL.DTA","Armenia",2010
"Female Sterilization","Told What to Do About Side Effects",0.662329065123811,"AMIR61FL.DTA","Armenia",2010
"Total","Method Information Index",0.380849083143128,"AMIR61FL.DTA","Armenia",2010
"Total","Told About Other Methods",0.483533593080309,"AMIR61FL.DTA","Armenia",2010
"Total","Told About Side Effects",0.731523145602386,"AMIR61FL.DTA","Armenia",2010
"Total","Told What to Do About Side Effects",0.653017063586641,"AMIR61FL.DTA","Armenia",2010
"Pill","Method Information Index",0.193287768525365,"BJIR71FL.DTA","Benin",2017
"IUD","Method Information Index",0.61227259000741,"BJIR71FL.DTA","Benin",2017
"Injections","Method Information Index",0.535206753662382,"BJIR71FL.DTA","Benin",2017
"Female Sterilization","Method Information Index",0.515613418326181,"BJIR71FL.DTA","Benin",2017
"Implant","Method Information Index",0.507386238382603,"BJIR71FL.DTA","Benin",2017
"Pill","Told About Other Methods",0.44431600393287,"BJIR71FL.DTA","Benin",2017
"IUD","Told About Other Methods",0.819794796465553,"BJIR71FL.DTA","Benin",2017
"Injections","Told About Other Methods",0.743807219311742,"BJIR71FL.DTA","Benin",2017
"Female Sterilization","Told About Other Methods",0.622637436641225,"BJIR71FL.DTA","Benin",2017
"Implant","Told About Other Methods",0.696271339915956,"BJIR71FL.DTA","Benin",2017
"Pill","Told About Side Effects",0.287621014473154,"BJIR71FL.DTA","Benin",2017
"IUD","Told About Side Effects",0.686762665294995,"BJIR71FL.DTA","Benin",2017
"Injections","Told About Side Effects",0.641611571899036,"BJIR71FL.DTA","Benin",2017
"Female Sterilization","Told About Side Effects",0.688064314925483,"BJIR71FL.DTA","Benin",2017
"Implant","Told About Side Effects",0.609716546922105,"BJIR71FL.DTA","Benin",2017
"Pill","Told What to Do About Side Effects",0.216022634758278,"BJIR71FL.DTA","Benin",2017
"IUD","Told What to Do About Side Effects",0.648742981735634,"BJIR71FL.DTA","Benin",2017
"Injections","Told What to Do About Side Effects",0.575906360802728,"BJIR71FL.DTA","Benin",2017
"Female Sterilization","Told What to Do About Side Effects",0.572925440414256,"BJIR71FL.DTA","Benin",2017
"Implant","Told What to Do About Side Effects",0.557743145125973,"BJIR71FL.DTA","Benin",2017
"Total","Method Information Index",0.486951776349588,"BJIR71FL.DTA","Benin",2017
"Total","Told About Other Methods",0.674009777940898,"BJIR71FL.DTA","Benin",2017
"Total","Told About Side Effects",0.585912828180499,"BJIR71FL.DTA","Benin",2017
"Total","Told What to Do About Side Effects",0.529801109149595,"BJIR71FL.DTA","Benin",2017
"Pill","Method Information Index",0.276481951748423,"BJIR61FL.DTA","Benin",2011
"IUD","Method Information Index",0.550745032978812,"BJIR61FL.DTA","Benin",2011
"Injections","Method Information Index",0.502349038158957,"BJIR61FL.DTA","Benin",2011
"Female Sterilization","Method Information Index",0.494692351618529,"BJIR61FL.DTA","Benin",2011
"Implant","Method Information Index",0.624530994075607,"BJIR61FL.DTA","Benin",2011
"Pill","Told About Other Methods",0.548873363795279,"BJIR61FL.DTA","Benin",2011
"IUD","Told About Other Methods",0.748257603710217,"BJIR61FL.DTA","Benin",2011
"Injections","Told About Other Methods",0.758560420538902,"BJIR61FL.DTA","Benin",2011
"Female Sterilization","Told About Other Methods",0.775065272767309,"BJIR61FL.DTA","Benin",2011
"Implant","Told About Other Methods",0.796128709544126,"BJIR61FL.DTA","Benin",2011
"Pill","Told About Side Effects",0.405339447831442,"BJIR61FL.DTA","Benin",2011
"IUD","Told About Side Effects",0.635950541208029,"BJIR61FL.DTA","Benin",2011
"Injections","Told About Side Effects",0.591342598507219,"BJIR61FL.DTA","Benin",2011
"Female Sterilization","Told About Side Effects",0.586707479251028,"BJIR61FL.DTA","Benin",2011
"Implant","Told About Side Effects",0.766348364999337,"BJIR61FL.DTA","Benin",2011
"Pill","Told What to Do About Side Effects",0.343932260409516,"BJIR61FL.DTA","Benin",2011
"IUD","Told What to Do About Side Effects",0.597794410075617,"BJIR61FL.DTA","Benin",2011
"Injections","Told What to Do About Side Effects",0.561246944789366,"BJIR61FL.DTA","Benin",2011
"Female Sterilization","Told What to Do About Side Effects",0.494692351618529,"BJIR61FL.DTA","Benin",2011
"Implant","Told What to Do About Side Effects",0.691842044343727,"BJIR61FL.DTA","Benin",2011
"Total","Method Information Index",0.461240796236706,"BJIR61FL.DTA","Benin",2011
"Total","Told About Other Methods",0.697441117274431,"BJIR61FL.DTA","Benin",2011
"Total","Told About Side Effects",0.572416150479768,"BJIR61FL.DTA","Benin",2011
"Total","Told What to Do About Side Effects",0.522171872995975,"BJIR61FL.DTA","Benin",2011
"Pill","Method Information Index",0.557787951880368,"BFIR62FL.DTA","Burkina Faso",2010
"IUD","Method Information Index",0.605138991315964,"BFIR62FL.DTA","Burkina Faso",2010
"Injections","Method Information Index",0.652735723528589,"BFIR62FL.DTA","Burkina Faso",2010
"Female Sterilization","Method Information Index",0.264106050249398,"BFIR62FL.DTA","Burkina Faso",2010
"Implant","Method Information Index",0.714647522727025,"BFIR62FL.DTA","Burkina Faso",2010
"Pill","Told About Other Methods",0.854884265114541,"BFIR62FL.DTA","Burkina Faso",2010
"IUD","Told About Other Methods",0.916545036491701,"BFIR62FL.DTA","Burkina Faso",2010
"Injections","Told About Other Methods",0.857135269989322,"BFIR62FL.DTA","Burkina Faso",2010
