"Group","Freq","N","SurveyName","Country","StartYear"
"Infecund, Menopausal",0.268754119801172,5182,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.583825195816086,12254,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.139777639140753,2798,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0.00630464808385382,159,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active",0.00133839715813514,31,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.184403821424395,2130,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years",0.349370300863593,4149,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years",0.0725809671319266,904,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active",0.253241137701738,2620,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active",0.140403772878348,1824,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal",0.265793002131258,903,"AMIR61FL.DTA","Armenia",2010
"Married, Does Not Want Child within 2 Years",0.105257740678962,369,"AMIR61FL.DTA","Armenia",2010
"Married, Wants Child within 2 Years",0.0434751837786424,141,"AMIR61FL.DTA","Armenia",2010
"Not Married, Not Sexually Active",0.584935440513834,1762,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active",0.000538632897303125,2,"AMIR61FL.DTA","Armenia",2010
"Infecund, Menopausal",0.195748200901312,635,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years",0.112839494256743,359,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years",0.0513501724694366,164,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active",0.638820832090064,1911,"AMIR71FL.DTA","Armenia",2015
"Not Married, Sexually Active",0.00124130028244359,3,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal",0.370780624903988,1187,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years",0.306666260082657,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years",0.115118710566953,374,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active",0.207434404446402,685,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal",0.410912321252192,1387,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years",0.299882425980245,972,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years",0.103351435946364,345,"BDIR72FL.DTA","Bangladesh",2014
"Not Married, Sexually Active",0.185853816821199,614,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal",0.344431704144781,770,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years",0.330176348279284,712,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years",0.163483261079459,348,"BDIR7RFL.DTA","Bangladesh",2017
"Not Married, Sexually Active",0.161908686496477,407,"BDIR7RFL.DTA","Bangladesh",2017
"Infecund, Menopausal",0.218731698722931,2652,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years",0.371267391155509,4527,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years",0.17651436131334,2201,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active",0.18665176654471,2115,"BJIR61FL.DTA","Benin",2011
"Not Married, Sexually Active",0.0468347822635099,559,"BJIR61FL.DTA","Benin",2011
"Infecund, Menopausal",0.177444477996726,1934,"BJIR71FL.DTA","Benin",2017
