"Var1","Var2","Freq","SurveyName","Country","StartYear"
"15-24","Current User",0.0408710116870972,"AFIR70FL.DTA","Afghanistan",2015
"25-39","Current User",0.125151288732193,"AFIR70FL.DTA","Afghanistan",2015
"40-49","Current User",0.0529430653220357,"AFIR70FL.DTA","Afghanistan",2015
"15-24","Former User",0.0212964685160971,"AFIR70FL.DTA","Afghanistan",2015
"25-39","Former User",0.0734254016699426,"AFIR70FL.DTA","Afghanistan",2015
"40-49","Former User",0.0252159101192705,"AFIR70FL.DTA","Afghanistan",2015
"15-24","Never Used",0.206476185060424,"AFIR70FL.DTA","Afghanistan",2015
"25-39","Never Used",0.312755522211634,"AFIR70FL.DTA","Afghanistan",2015
"40-49","Never Used",0.141865146681306,"AFIR70FL.DTA","Afghanistan",2015
"15-24","Current User",0.058382805544874,"AOIR71FL.DTA","Angola",2015
"25-39","Current User",0.0656136976971346,"AOIR71FL.DTA","Angola",2015
"40-49","Current User",0.009098451200172,"AOIR71FL.DTA","Angola",2015
"15-24","Former User",0.0390688037126656,"AOIR71FL.DTA","Angola",2015
"25-39","Former User",0.0564245891509614,"AOIR71FL.DTA","Angola",2015
"40-49","Former User",0.0144217233134686,"AOIR71FL.DTA","Angola",2015
"15-24","Never Used",0.354052920069076,"AOIR71FL.DTA","Angola",2015
"25-39","Never Used",0.27825809457819,"AOIR71FL.DTA","Angola",2015
"40-49","Never Used",0.124678914733457,"AOIR71FL.DTA","Angola",2015
"15-24","Current User",0.0330662686885078,"AMIR61FL.DTA","Armenia",2010
"25-39","Current User",0.20266048023193,"AMIR61FL.DTA","Armenia",2010
"40-49","Current User",0.103036114559962,"AMIR61FL.DTA","Armenia",2010
"15-24","Former User",0.00744186758087695,"AMIR61FL.DTA","Armenia",2010
"25-39","Former User",0.0445789633376437,"AMIR61FL.DTA","Armenia",2010
"40-49","Former User",0.0740069120482653,"AMIR61FL.DTA","Armenia",2010
"15-24","Never Used",0.279106209730217,"AMIR61FL.DTA","Armenia",2010
"25-39","Never Used",0.163244272867088,"AMIR61FL.DTA","Armenia",2010
"40-49","Never Used",0.0928589109555095,"AMIR61FL.DTA","Armenia",2010
"15-24","Current User",0.0274844251998372,"AMIR71FL.DTA","Armenia",2015
"25-39","Current User",0.236506316300461,"AMIR71FL.DTA","Armenia",2015
"40-49","Current User",0.103170213531758,"AMIR71FL.DTA","Armenia",2015
"15-24","Former User",0.00573903647956862,"AMIR71FL.DTA","Armenia",2015
"25-39","Former User",0.0566503342178477,"AMIR71FL.DTA","Armenia",2015
"40-49","Former User",0.0588508397838728,"AMIR71FL.DTA","Armenia",2015
"15-24","Never Used",0.237097615844482,"AMIR71FL.DTA","Armenia",2015
"25-39","Never Used",0.192935129932271,"AMIR71FL.DTA","Armenia",2015
"40-49","Never Used",0.0815660887099012,"AMIR71FL.DTA","Armenia",2015
"15-24","Current User",0.161850672326437,"BDIR61FL.DTA","Bangladesh",2011
"25-39","Current User",0.305928444601821,"BDIR61FL.DTA","Bangladesh",2011
"40-49","Current User",0.105937926341938,"BDIR61FL.DTA","Bangladesh",2011
"15-24","Former User",0.0828185363472216,"BDIR61FL.DTA","Bangladesh",2011
"25-39","Former User",0.104598666228466,"BDIR61FL.DTA","Bangladesh",2011
"40-49","Former User",0.0608560217624621,"BDIR61FL.DTA","Bangladesh",2011
"15-24","Never Used",0.0642789493035691,"BDIR61FL.DTA","Bangladesh",2011
"25-39","Never Used",0.0567702725765769,"BDIR61FL.DTA","Bangladesh",2011
"40-49","Never Used",0.0569605105115087,"BDIR61FL.DTA","Bangladesh",2011
"15-24","Current User",0.161747940762911,"BDIR72FL.DTA","Bangladesh",2014
"25-39","Current User",0.331530243191073,"BDIR72FL.DTA","Bangladesh",2014
"40-49","Current User",0.0960486209487031,"BDIR72FL.DTA","Bangladesh",2014
"15-24","Former User",0.0725255647373185,"BDIR72FL.DTA","Bangladesh",2014
"25-39","Former User",0.0947008859429921,"BDIR72FL.DTA","Bangladesh",2014
"40-49","Former User",0.0594275279038859,"BDIR72FL.DTA","Bangladesh",2014
"15-24","Never Used",0.0597852622770615,"BDIR72FL.DTA","Bangladesh",2014
"25-39","Never Used",0.0637025914593396,"BDIR72FL.DTA","Bangladesh",2014
"40-49","Never Used",0.0605313627767156,"BDIR72FL.DTA","Bangladesh",2014
"15-24","Current User",0.143625536361801,"BDIR7RFL.DTA","Bangladesh",2017
"25-39","Current User",0.326470882277972,"BDIR7RFL.DTA","Bangladesh",2017
"40-49","Current User",0.113307325976749,"BDIR7RFL.DTA","Bangladesh",2017
"15-24","Former User",0.0853792520414206,"BDIR7RFL.DTA","Bangladesh",2017
