"Var1","Var2","Freq","SurveyName","Country","StartYear"
"Married","Current User",0.218678907035508,"AFIR70FL.DTA","Afghanistan",2015
"MISSING","Current User",0.000140855333037483,"AFIR70FL.DTA","Afghanistan",2015
"UMNSA","Current User",0.000145603372780693,"AFIR70FL.DTA","Afghanistan",2015
"UMSA","Current User",0,"AFIR70FL.DTA","Afghanistan",2015
"Married","Former User",0.115861481739956,"AFIR70FL.DTA","Afghanistan",2015
"MISSING","Former User",0.000150869351489901,"AFIR70FL.DTA","Afghanistan",2015
"UMNSA","Former User",0.00382171790143759,"AFIR70FL.DTA","Afghanistan",2015
"UMSA","Former User",0.000103711312427291,"AFIR70FL.DTA","Afghanistan",2015
"Married","Never Used",0.638641482591968,"AFIR70FL.DTA","Afghanistan",2015
"MISSING","Never Used",0.000271385965706579,"AFIR70FL.DTA","Afghanistan",2015
"UMNSA","Never Used",0.0213261881791417,"AFIR70FL.DTA","Afghanistan",2015
"UMSA","Never Used",0.00085779721654737,"AFIR70FL.DTA","Afghanistan",2015
"Married","Current User",0.0756150810749541,"AOIR71FL.DTA","Angola",2015
"UMNSA","Current User",0.0278803358565157,"AOIR71FL.DTA","Angola",2015
"UMSA","Current User",0.0295995375107109,"AOIR71FL.DTA","Angola",2015
"Married","Former User",0.0686761622817334,"AOIR71FL.DTA","Angola",2015
"UMNSA","Former User",0.0291587978978183,"AOIR71FL.DTA","Angola",2015
"UMSA","Former User",0.0120801559975438,"AOIR71FL.DTA","Angola",2015
"Married","Never Used",0.409057675667091,"AOIR71FL.DTA","Angola",2015
"UMNSA","Never Used",0.286808573327709,"AOIR71FL.DTA","Angola",2015
"UMSA","Never Used",0.0611236803859234,"AOIR71FL.DTA","Angola",2015
"Married","Current User",0.336036039614843,"AMIR61FL.DTA","Armenia",2010
"UMNSA","Current User",0.00115209202485608,"AMIR61FL.DTA","Armenia",2010
"UMSA","Current User",0.00157473184070106,"AMIR61FL.DTA","Armenia",2010
"Married","Former User",0.102667601896878,"AMIR61FL.DTA","Armenia",2010
"UMNSA","Former User",0.023000208785038,"AMIR61FL.DTA","Armenia",2010
"UMSA","Former User",0.000359932284870262,"AMIR61FL.DTA","Armenia",2010
"Married","Never Used",0.173528304907429,"AMIR61FL.DTA","Armenia",2010
"UMNSA","Never Used",0.360237162950704,"AMIR61FL.DTA","Armenia",2010
