"Var1","Freq","SurveyName","Country","StartYear"
"Current User",0.218965365741326,"AFIR70FL.DTA","Afghanistan",2015
"Former User",0.11993778030531,"AFIR70FL.DTA","Afghanistan",2015
"Never Used",0.661096853953364,"AFIR70FL.DTA","Afghanistan",2015
"Current User",0.133094954442181,"AOIR71FL.DTA","Angola",2015
"Former User",0.109915116177096,"AOIR71FL.DTA","Angola",2015
"Never Used",0.756989929380724,"AOIR71FL.DTA","Angola",2015
"Current User",0.3387628634804,"AMIR61FL.DTA","Armenia",2010
"Former User",0.126027742966786,"AMIR61FL.DTA","Armenia",2010
"Never Used",0.535209393552814,"AMIR61FL.DTA","Armenia",2010
"Current User",0.367160955032057,"AMIR71FL.DTA","Armenia",2015
"Former User",0.121240210481289,"AMIR71FL.DTA","Armenia",2015
"Never Used",0.511598834486654,"AMIR71FL.DTA","Armenia",2015
"Current User",0.573717043270195,"BDIR61FL.DTA","Bangladesh",2011
"Former User",0.24827322433815,"BDIR61FL.DTA","Bangladesh",2011
"Never Used",0.178009732391655,"BDIR61FL.DTA","Bangladesh",2011
"Current User",0.589326804902687,"BDIR72FL.DTA","Bangladesh",2014
"Former User",0.226653978584196,"BDIR72FL.DTA","Bangladesh",2014
"Never Used",0.184019216513117,"BDIR72FL.DTA","Bangladesh",2014
"Current User",0.583403744616522,"BDIR7RFL.DTA","Bangladesh",2017
"Former User",0.303739301090166,"BDIR7RFL.DTA","Bangladesh",2017
"Never Used",0.112856954293312,"BDIR7RFL.DTA","Bangladesh",2017
"Current User",0.139969090958653,"BJIR61FL.DTA","Benin",2011
"Former User",0.138113113499859,"BJIR61FL.DTA","Benin",2011
"Never Used",0.721917795541488,"BJIR61FL.DTA","Benin",2011
"Current User",0.144129153458021,"BJIR71FL.DTA","Benin",2017
"Former User",0.166919086524699,"BJIR71FL.DTA","Benin",2017
"Never Used",0.68895176001728,"BJIR71FL.DTA","Benin",2017
"Current User",0.152794403979546,"BFIR62FL.DTA","Burkina Faso",2010
"Former User",0.0832091449756516,"BFIR62FL.DTA","Burkina Faso",2010
"Never Used",0.763996451044803,"BFIR62FL.DTA","Burkina Faso",2010
"Current User",0.300621534945776,"BFIR81FL.DTA","Burkina Faso",2021
"Former User",0.192562857200903,"BFIR81FL.DTA","Burkina Faso",2021
"Never Used",0.50681560785332,"BFIR81FL.DTA","Burkina Faso",2021
"Current User",0.134049437841068,"BUIR61FL.DTA","Burundi",2010
"Former User",0.0669333782583295,"BUIR61FL.DTA","Burundi",2010
"Never Used",0.799017183900602,"BUIR61FL.DTA","Burundi",2010
"Current User",0.178873586668868,"BUIR70FL.DTA","Burundi",2016
"Former User",0.173591579742929,"BUIR70FL.DTA","Burundi",2016
"Never Used",0.647534833588203,"BUIR70FL.DTA","Burundi",2016
"Current User",0.385322477294905,"KHIR73FL.DTA","Cambodia",2014
"Former User",0.145719616688541,"KHIR73FL.DTA","Cambodia",2014
"Never Used",0.468957906016554,"KHIR73FL.DTA","Cambodia",2014
"Current User",0.43122548389679,"KHIR81FL.DTA","Cambodia",2021
"Former User",0.114882871552821,"KHIR81FL.DTA","Cambodia",2021
"Never Used",0.453891644550389,"KHIR81FL.DTA","Cambodia",2021
"Current User",0.236943274380508,"CMIR61FL.DTA","Cameroon",2011
"Former User",0.195214946875495,"CMIR61FL.DTA","Cameroon",2011
"Never Used",0.567841778743997,"CMIR61FL.DTA","Cameroon",2011
"Current User",0.195154092491735,"CMIR71FL.DTA","Cameroon",2018
"Former User",0.155520821222619,"CMIR71FL.DTA","Cameroon",2018
"Never Used",0.649325086285647,"CMIR71FL.DTA","Cameroon",2018
"Current User",0.0535496511099635,"TDIR71FL.DTA","Chad",2014
"Former User",0.0319936281735921,"TDIR71FL.DTA","Chad",2014
"Never Used",0.914456720716444,"TDIR71FL.DTA","Chad",2014
"Current User",0.13657711728808,"KMIR61FL.DTA","Comoros",2012
"Former User",0.0820960861018359,"KMIR61FL.DTA","Comoros",2012
"Never Used",0.781326796610084,"KMIR61FL.DTA","Comoros",2012
"Current User",0.443422703630185,"CGIR60FL.DTA","Congo",2011
"Former User",0.214375043620194,"CGIR60FL.DTA","Congo",2011
"Never Used",0.342202252749622,"CGIR60FL.DTA","Congo",2011
"Current User",0.192551439380565,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Former User",0.139136429893734,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Never Used",0.668312130725701,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Current User",0.197449264364733,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Former User",0.172239017061158,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Never Used",0.630311718574109,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Current User",0.220472944918412,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Former User",0.141999091441281,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Never Used",0.637527963640307,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Current User",0.550785440071238,"DRIR61FL.DTA","Dominican Republic",2013
"Former User",0.210334303176376,"DRIR61FL.DTA","Dominican Republic",2013
"Never Used",0.238880256752386,"DRIR61FL.DTA","Dominican Republic",2013
"Current User",0.550216062391678,"EGIR61FL.DTA","Egypt",2014
"Former User",0.255320889914368,"EGIR61FL.DTA","Egypt",2014
"Never Used",0.194463047693954,"EGIR61FL.DTA","Egypt",2014
"Current User",0.195797748629378,"ETIR61FL.DTA","Ethiopia",2011
"Former User",0.140400842098393,"ETIR61FL.DTA","Ethiopia",2011
"Never Used",0.663801409272229,"ETIR61FL.DTA","Ethiopia",2011
"Current User",0.253406293803433,"ETIR70FL.DTA","Ethiopia",2016
"Former User",0.176145709607168,"ETIR70FL.DTA","Ethiopia",2016
"Never Used",0.5704479965894,"ETIR70FL.DTA","Ethiopia",2016
"Current User",0.336094433628602,"GAIR60FL.DTA","Gabon",2012
"Former User",0.193411264872553,"GAIR60FL.DTA","Gabon",2012
"Never Used",0.470494301498845,"GAIR60FL.DTA","Gabon",2012
"Current User",0.0712515963202952,"GMIR60FL.DTA","Gambia",2013
"Former User",0.0834114253933952,"GMIR60FL.DTA","Gambia",2013
"Never Used",0.845336978286309,"GMIR60FL.DTA","Gambia",2013
"Current User",0.134192650291583,"GMIR81FL.DTA","Gambia",2019
"Former User",0.185511615783867,"GMIR81FL.DTA","Gambia",2019
"Never Used",0.68029573392455,"GMIR81FL.DTA","Gambia",2019
"Current User",0.228075697963997,"GHIR72FL.DTA","Ghana",2014
"Former User",0.212311558362935,"GHIR72FL.DTA","Ghana",2014
"Never Used",0.559612743673067,"GHIR72FL.DTA","Ghana",2014
"Current User",0.394058892181071,"GUIR71FL.DTA","Guatemala",2014
"Former User",0.15630111785947,"GUIR71FL.DTA","Guatemala",2014
"Never Used",0.449639989959458,"GUIR71FL.DTA","Guatemala",2014
"Current User",0.0850208294249981,"GNIR62FL.DTA","Guinea",2012
"Former User",0.0684073171018564,"GNIR62FL.DTA","Guinea",2012
"Never Used",0.846571853473146,"GNIR62FL.DTA","Guinea",2012
"Current User",0.117635411732201,"GNIR71FL.DTA","Guinea",2018
"Former User",0.089525418791532,"GNIR71FL.DTA","Guinea",2018
"Never Used",0.792839169476267,"GNIR71FL.DTA","Guinea",2018
"Current User",0.48857985818683,"HNIR62FL.DTA","Honduras",2011
"Former User",0.234883672288414,"HNIR62FL.DTA","Honduras",2011
"Never Used",0.276536469524756,"HNIR62FL.DTA","Honduras",2011
"Current User",0.407738854139644,"IAIR73FL.DTA","India",2015
"Former User",0.0917348661512425,"IAIR73FL.DTA","India",2015
"Never Used",0.500526279709114,"IAIR73FL.DTA","India",2015
"Current User",0.501198986863521,"IAIR7DFL.DTA","India",2019
"Former User",0.107972341646063,"IAIR7DFL.DTA","India",2019
"Never Used",0.390828671490416,"IAIR7DFL.DTA","India",2019
"Current User",0.45672046545994,"IDIR63FL.DTA","Indonesia",2012
"Former User",0.198561433973425,"IDIR63FL.DTA","Indonesia",2012
"Never Used",0.344718100566635,"IDIR63FL.DTA","Indonesia",2012
"Current User",0.460013893602477,"IDIR71FL.DTA","Indonesia",2017
"Former User",0.202667654521679,"IDIR71FL.DTA","Indonesia",2017
"Never Used",0.337318451875843,"IDIR71FL.DTA","Indonesia",2017
"Current User",0.582805563308795,"JOIR6CFL.DTA","Jordan",2012
"Former User",0.229723747847757,"JOIR6CFL.DTA","Jordan",2012
"Never Used",0.187470688843448,"JOIR6CFL.DTA","Jordan",2012
"Current User",0.481346754554718,"JOIR72FL.DTA","Jordan",2017
"Former User",0.210408564587102,"JOIR72FL.DTA","Jordan",2017
"Never Used",0.308244680858179,"JOIR72FL.DTA","Jordan",2017
"Current User",0.425948170035591,"KEIR72FL.DTA","Kenya",2014
"Former User",0.197520289227506,"KEIR72FL.DTA","Kenya",2014
"Never Used",0.376531540736903,"KEIR72FL.DTA","Kenya",2014
"Current User",0.466075600966874,"KEIR8BFL.DTA","Kenya",2022
"Former User",0.22025223307115,"KEIR8BFL.DTA","Kenya",2022
"Never Used",0.313672165961976,"KEIR8BFL.DTA","Kenya",2022
"Current User",0.244013509586974,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Former User",0.1344067696026,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Never Used",0.621579720810427,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Current User",0.488796717849844,"LSIR71FL.DTA","Lesotho",2014
"Former User",0.222494083860017,"LSIR71FL.DTA","Lesotho",2014
"Never Used",0.288709198290138,"LSIR71FL.DTA","Lesotho",2014
"Current User",0.217258837006553,"LBIR6AFL.DTA","Liberia",2013
"Former User",0.146239303137415,"LBIR6AFL.DTA","Liberia",2013
"Never Used",0.636501859856032,"LBIR6AFL.DTA","Liberia",2013
"Current User",0.262488775335958,"LBIR7AFL.DTA","Liberia",2019
"Former User",0.27002245072486,"LBIR7AFL.DTA","Liberia",2019
"Never Used",0.467488773939182,"LBIR7AFL.DTA","Liberia",2019
"Current User",0.400661952682122,"MDIR81FL.DTA","Madagascar",2021
"Former User",0.23635334566464,"MDIR81FL.DTA","Madagascar",2021
"Never Used",0.362984701653238,"MDIR81FL.DTA","Madagascar",2021
"Current User",0.459514231210155,"MWIR7AFL.DTA","Malawi",2015
"Former User",0.230055537560093,"MWIR7AFL.DTA","Malawi",2015
"Never Used",0.310430231229753,"MWIR7AFL.DTA","Malawi",2015
"Current User",0.133282897059366,"MVIR71FL.DTA","Maldives",2016
"Former User",0.144906170279609,"MVIR71FL.DTA","Maldives",2016
"Never Used",0.721810932661025,"MVIR71FL.DTA","Maldives",2016
"Current User",0.0999278155204184,"MLIR6AFL.DTA","Mali",2012
"Former User",0.0962942346720826,"MLIR6AFL.DTA","Mali",2012
"Never Used",0.803777949807499,"MLIR6AFL.DTA","Mali",2012
"Current User",0.161746536625871,"MLIR7HFL.DTA","Mali",2018
"Former User",0.140660974622767,"MLIR7HFL.DTA","Mali",2018
"Never Used",0.697592488751361,"MLIR7HFL.DTA","Mali",2018
"Current User",0.0893486280502877,"MRIR71FL.DTA","Mauritania",2019
"Former User",0.116792566423188,"MRIR71FL.DTA","Mauritania",2019
"Never Used",0.793858805526525,"MRIR71FL.DTA","Mauritania",2019
"Current User",0.123311614761874,"MZIR62FL.DTA","Mozambique",2011
"Former User",0.148840274034513,"MZIR62FL.DTA","Mozambique",2011
"Never Used",0.727848111203614,"MZIR62FL.DTA","Mozambique",2011
"Current User",0.381668286211742,"NPIR60FL.DTA","Nepal",2011
"Former User",0.181877106450683,"NPIR60FL.DTA","Nepal",2011
"Never Used",0.436454607337575,"NPIR60FL.DTA","Nepal",2011
"Current User",0.407635994453538,"NPIR7HFL.DTA","Nepal",2016
"Former User",0.193761785175936,"NPIR7HFL.DTA","Nepal",2016
"Never Used",0.398602220370526,"NPIR7HFL.DTA","Nepal",2016
"Current User",0.43748870311121,"NPIR81FL.DTA","Nepal",2022
"Former User",0.200895115212274,"NPIR81FL.DTA","Nepal",2022
"Never Used",0.361616181676516,"NPIR81FL.DTA","Nepal",2022
"Current User",0.124991285528746,"NIIR61FL.DTA","Niger",2012
"Former User",0.147162323786834,"NIIR61FL.DTA","Niger",2012
"Never Used",0.72784639068442,"NIIR61FL.DTA","Niger",2012
"Current User",0.15986610683015,"NGIR6AFL.DTA","Nigeria",2013
"Former User",0.0805078005716585,"NGIR6AFL.DTA","Nigeria",2013
"Never Used",0.759626092598191,"NGIR6AFL.DTA","Nigeria",2013
"Current User",0.143005095952489,"NGIR7AFL.DTA","Nigeria",2018
"Former User",0.133630693302651,"NGIR7AFL.DTA","Nigeria",2018
"Never Used",0.72336421074486,"NGIR7AFL.DTA","Nigeria",2018
"Current User",0.331126361162827,"PKIR71FL.DTA","Pakistan",2017
"Former User",0.119639459758468,"PKIR71FL.DTA","Pakistan",2017
"Never Used",0.549234179078704,"PKIR71FL.DTA","Pakistan",2017
"Current User",0.345894083045302,"PHIR61FL.DTA","Philippines",2013
"Former User",0.145210982720758,"PHIR61FL.DTA","Philippines",2013
"Never Used",0.508894934233939,"PHIR61FL.DTA","Philippines",2013
"Current User",0.340726119216481,"PHIR81FL.DTA","Philippines",2022
"Former User",0.0868483657333329,"PHIR81FL.DTA","Philippines",2022
"Never Used",0.572425515050186,"PHIR81FL.DTA","Philippines",2022
"Current User",0.286208014674412,"RWIR61FL.DTA","Rwanda",2010
"Former User",0.0890219015913893,"RWIR61FL.DTA","Rwanda",2010
"Never Used",0.624770083734198,"RWIR61FL.DTA","Rwanda",2010
"Current User",0.308820656813726,"RWIR70FL.DTA","Rwanda",2014
"Former User",0.153220441103421,"RWIR70FL.DTA","Rwanda",2014
"Never Used",0.537958902082852,"RWIR70FL.DTA","Rwanda",2014
"Current User",0.385983710055414,"RWIR81FL.DTA","Rwanda",2019
"Former User",0.150457364455135,"RWIR81FL.DTA","Rwanda",2019
"Never Used",0.463558925489452,"RWIR81FL.DTA","Rwanda",2019
"Current User",0.0958799065641434,"SNIR61FL.DTA","Senegal",2010
"Former User",0.120485114208999,"SNIR61FL.DTA","Senegal",2010
"Never Used",0.783634979226857,"SNIR61FL.DTA","Senegal",2010
"Current User",0.126101552862356,"SNIR6DFL.DTA","Senegal",2012
"Former User",0.120796606857846,"SNIR6DFL.DTA","Senegal",2012
"Never Used",0.753101840279799,"SNIR6DFL.DTA","Senegal",2012
"Current User",0.160297700593802,"SNIR70FL.DTA","Senegal",2014
"Former User",0.146426725938691,"SNIR70FL.DTA","Senegal",2014
"Never Used",0.693275573467507,"SNIR70FL.DTA","Senegal",2014
