Var1,Freq,SurveyName,Country,StartYear
1 Year,0.234874507,AFIR70FL.DTA,Afghanistan,2015
2 Year,0.137982079,AFIR70FL.DTA,Afghanistan,2015
3 Year,0.076862128,AFIR70FL.DTA,Afghanistan,2015
4 Year,0.064136504,AFIR70FL.DTA,Afghanistan,2015
5+ Years,0.15603397,AFIR70FL.DTA,Afghanistan,2015
Under a Year,0.330110811,AFIR70FL.DTA,Afghanistan,2015
1 Year,0.247386376,AOIR71FL.DTA,Angola,2015
2 Year,0.096366674,AOIR71FL.DTA,Angola,2015
3 Year,0.05619029,AOIR71FL.DTA,Angola,2015
4 Year,0.029568119,AOIR71FL.DTA,Angola,2015
5+ Years,0.083158912,AOIR71FL.DTA,Angola,2015
Under a Year,0.487329628,AOIR71FL.DTA,Angola,2015
1 Year,0.118062857,AMIR71FL.DTA,Armenia,2015
2 Year,0.112531853,AMIR71FL.DTA,Armenia,2015
3 Year,0.07583302,AMIR71FL.DTA,Armenia,2015
4 Year,0.065413817,AMIR71FL.DTA,Armenia,2015
5+ Years,0.472599596,AMIR71FL.DTA,Armenia,2015
Under a Year,0.155558857,AMIR71FL.DTA,Armenia,2015
1 Year,0.138025408,AMIR61FL.DTA,Armenia,2010
2 Year,0.103699598,AMIR61FL.DTA,Armenia,2010
3 Year,0.069367244,AMIR61FL.DTA,Armenia,2010
4 Year,0.066454374,AMIR61FL.DTA,Armenia,2010
5+ Years,0.460302158,AMIR61FL.DTA,Armenia,2010
Under a Year,0.162151218,AMIR61FL.DTA,Armenia,2010
1 Year,0.153798517,BDIR7RFL.DTA,Bangladesh,2017
2 Year,0.107358443,BDIR7RFL.DTA,Bangladesh,2017
3 Year,0.085009866,BDIR7RFL.DTA,Bangladesh,2017
4 Year,0.058492829,BDIR7RFL.DTA,Bangladesh,2017
5+ Years,0.337898592,BDIR7RFL.DTA,Bangladesh,2017
Under a Year,0.257441752,BDIR7RFL.DTA,Bangladesh,2017
1 Year,0.152026061,BDIR72FL.DTA,Bangladesh,2014
2 Year,0.114786217,BDIR72FL.DTA,Bangladesh,2014
3 Year,0.084901287,BDIR72FL.DTA,Bangladesh,2014
4 Year,0.063449596,BDIR72FL.DTA,Bangladesh,2014
5+ Years,0.334660728,BDIR72FL.DTA,Bangladesh,2014
Under a Year,0.250176109,BDIR72FL.DTA,Bangladesh,2014
1 Year,0.153260964,BDIR61FL.DTA,Bangladesh,2011
2 Year,0.116653185,BDIR61FL.DTA,Bangladesh,2011
3 Year,0.093018898,BDIR61FL.DTA,Bangladesh,2011
4 Year,0.059666315,BDIR61FL.DTA,Bangladesh,2011
5+ Years,0.306759362,BDIR61FL.DTA,Bangladesh,2011
Under a Year,0.270641276,BDIR61FL.DTA,Bangladesh,2011
1 Year,0.242156629,BJIR71FL.DTA,Benin,2017
2 Year,0.143520274,BJIR71FL.DTA,Benin,2017
3 Year,0.100742888,BJIR71FL.DTA,Benin,2017
4 Year,0.053947193,BJIR71FL.DTA,Benin,2017
5+ Years,0.084802049,BJIR71FL.DTA,Benin,2017
Under a Year,0.374830966,BJIR71FL.DTA,Benin,2017
1 Year,0.177156161,BJIR61FL.DTA,Benin,2011
2 Year,0.116845352,BJIR61FL.DTA,Benin,2011
3 Year,0.076781768,BJIR61FL.DTA,Benin,2011
4 Year,0.046354901,BJIR61FL.DTA,Benin,2011
5+ Years,0.152872317,BJIR61FL.DTA,Benin,2011
Under a Year,0.429989501,BJIR61FL.DTA,Benin,2011
1 Year,0.261218113,BFIR62FL.DTA,Burkina Faso,2010
2 Year,0.153738664,BFIR62FL.DTA,Burkina Faso,2010
3 Year,0.082235097,BFIR62FL.DTA,Burkina Faso,2010
4 Year,0.047636062,BFIR62FL.DTA,Burkina Faso,2010
5+ Years,0.103310452,BFIR62FL.DTA,Burkina Faso,2010
Under a Year,0.351861612,BFIR62FL.DTA,Burkina Faso,2010
1 Year,0.24835591,BUIR70FL.DTA,Burundi,2016
2 Year,0.130258646,BUIR70FL.DTA,Burundi,2016
3 Year,0.073043337,BUIR70FL.DTA,Burundi,2016
4 Year,0.042737596,BUIR70FL.DTA,Burundi,2016
