Group,Decider,Freq,SurveyName,Country,StartYear
Current User,Mainly Respondent,0.167134951,AFIR70FL.DTA,Afghanistan,2015
Current User,"Mainly Husband, Partner",0.113561436,AFIR70FL.DTA,Afghanistan,2015
Current User,Joint Decision,0.707941821,AFIR70FL.DTA,Afghanistan,2015
Current User,Other,0.011361792,AFIR70FL.DTA,Afghanistan,2015
Current User,Mainly Respondent,0.248611288,AOIR71FL.DTA,Angola,2015
Current User,"Mainly Husband, Partner",0.097016476,AOIR71FL.DTA,Angola,2015
Current User,Joint Decision,0.652691156,AOIR71FL.DTA,Angola,2015
Current User,Other,0.00168108,AOIR71FL.DTA,Angola,2015
Never User,Mainly Respondent,0.230634438,AOIR71FL.DTA,Angola,2015
Never User,"Mainly Husband, Partner",0.265747943,AOIR71FL.DTA,Angola,2015
Never User,Joint Decision,0.45197687,AOIR71FL.DTA,Angola,2015
Never User,Other,0.051640749,AOIR71FL.DTA,Angola,2015
Former User,Mainly Respondent,0.420909956,AOIR71FL.DTA,Angola,2015
Former User,"Mainly Husband, Partner",0.118482085,AOIR71FL.DTA,Angola,2015
Former User,Joint Decision,0.441884388,AOIR71FL.DTA,Angola,2015
Former User,Other,0.01872357,AOIR71FL.DTA,Angola,2015
Current User,Mainly Respondent,0.159537011,AMIR71FL.DTA,Armenia,2015
Current User,"Mainly Husband, Partner",0.110998355,AMIR71FL.DTA,Armenia,2015
Current User,Joint Decision,0.728437949,AMIR71FL.DTA,Armenia,2015
Current User,Other,0.001026685,AMIR71FL.DTA,Armenia,2015
Never User,Mainly Respondent,0.164316556,AMIR71FL.DTA,Armenia,2015
Never User,"Mainly Husband, Partner",0.040219631,AMIR71FL.DTA,Armenia,2015
Never User,Joint Decision,0.636404876,AMIR71FL.DTA,Armenia,2015
Never User,Other,0.159058937,AMIR71FL.DTA,Armenia,2015
Former User,Mainly Respondent,0.251167988,AMIR71FL.DTA,Armenia,2015
Former User,"Mainly Husband, Partner",0.011092188,AMIR71FL.DTA,Armenia,2015
Former User,Joint Decision,0.407137932,AMIR71FL.DTA,Armenia,2015
Former User,Other,0.330601892,AMIR71FL.DTA,Armenia,2015
Current User,Mainly Respondent,0.120888175,AMIR61FL.DTA,Armenia,2010
Current User,"Mainly Husband, Partner",0.168665823,AMIR61FL.DTA,Armenia,2010
Current User,Joint Decision,0.70389762,AMIR61FL.DTA,Armenia,2010
Current User,Other,0.00270604,AMIR61FL.DTA,Armenia,2010
Current User,Missing,0.003842341,AMIR61FL.DTA,Armenia,2010
Current User,Mainly Respondent,0.155330515,BDIR7RFL.DTA,Bangladesh,2017
Current User,"Mainly Husband, Partner",0.067571073,BDIR7RFL.DTA,Bangladesh,2017
Current User,Joint Decision,0.775575314,BDIR7RFL.DTA,Bangladesh,2017
Current User,Other,0.001523099,BDIR7RFL.DTA,Bangladesh,2017
Never User,Mainly Respondent,0.244693586,BDIR7RFL.DTA,Bangladesh,2017
Never User,"Mainly Husband, Partner",0.061139915,BDIR7RFL.DTA,Bangladesh,2017
Never User,Joint Decision,0.678448471,BDIR7RFL.DTA,Bangladesh,2017
Never User,Other,0.015718027,BDIR7RFL.DTA,Bangladesh,2017
Former User,Mainly Respondent,0.335321364,BDIR7RFL.DTA,Bangladesh,2017
Former User,"Mainly Husband, Partner",0.044762941,BDIR7RFL.DTA,Bangladesh,2017
Former User,Joint Decision,0.615303552,BDIR7RFL.DTA,Bangladesh,2017
Former User,Other,0.004612143,BDIR7RFL.DTA,Bangladesh,2017
