Group,Freq,N,SurveyName,Country,StartYear
"Infecund, Menopausal",0.119619939,347,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.772494864,2498,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.099388553,322,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0.006300529,13,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0.002196115,5,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.106699866,119,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",0.471558289,631,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",0.084328731,90,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",0.167757003,218,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",0.169656111,234,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",0.289138159,223,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",0.463520838,348,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",0.076137355,65,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",0.171203647,116,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",0.302795387,262,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",0.487954069,362,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",0.050343897,41,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",0.154362366,102,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",0.004544282,3,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",0.225016783,1397,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",0.478897526,2809,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",0.1693478,1014,BDIR7RFL.DTA,Bangladesh,2017
"Not Married, Sexually Active",0.126737892,825,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",0.199961078,835,BDIR72FL.DTA,Bangladesh,2014
