Time_Since_Use,Freq,SurveyName,Country,StartYear
1 Year,0.143993009,AFIR70FL.DTA,Afghanistan,2015
2 Year,0.103210588,AFIR70FL.DTA,Afghanistan,2015
3 Year,0.08023738,AFIR70FL.DTA,Afghanistan,2015
4 Year,0.062409479,AFIR70FL.DTA,Afghanistan,2015
5+ Years,0.339228064,AFIR70FL.DTA,Afghanistan,2015
Under a Year,0.270921481,AFIR70FL.DTA,Afghanistan,2015
1 Year,0.041856696,AOIR71FL.DTA,Angola,2015
2 Year,0.079439784,AOIR71FL.DTA,Angola,2015
3 Year,0.040828297,AOIR71FL.DTA,Angola,2015
4 Year,0.061041908,AOIR71FL.DTA,Angola,2015
5+ Years,0.6488303,AOIR71FL.DTA,Angola,2015
Under a Year,0.128003014,AOIR71FL.DTA,Angola,2015
1 Year,0.065728654,AMIR71FL.DTA,Armenia,2015
2 Year,0.059454649,AMIR71FL.DTA,Armenia,2015
3 Year,0.048038782,AMIR71FL.DTA,Armenia,2015
4 Year,0.032225172,AMIR71FL.DTA,Armenia,2015
5+ Years,0.540532129,AMIR71FL.DTA,Armenia,2015
Under a Year,0.254020614,AMIR71FL.DTA,Armenia,2015
1 Year,0.080267375,BDIR7RFL.DTA,Bangladesh,2017
2 Year,0.067310349,BDIR7RFL.DTA,Bangladesh,2017
3 Year,0.059906324,BDIR7RFL.DTA,Bangladesh,2017
4 Year,0.060245811,BDIR7RFL.DTA,Bangladesh,2017
5+ Years,0.310192737,BDIR7RFL.DTA,Bangladesh,2017
Under a Year,0.417591567,BDIR7RFL.DTA,Bangladesh,2017
"yes, used in calendar",0.004485838,BDIR7RFL.DTA,Bangladesh,2017
1 Year,0.080339752,BDIR72FL.DTA,Bangladesh,2014
2 Year,0.06805194,BDIR72FL.DTA,Bangladesh,2014
3 Year,0.073668262,BDIR72FL.DTA,Bangladesh,2014
4 Year,0.068146378,BDIR72FL.DTA,Bangladesh,2014
5+ Years,0.303349581,BDIR72FL.DTA,Bangladesh,2014
Under a Year,0.390479595,BDIR72FL.DTA,Bangladesh,2014
"yes, used in calendar",0.015964493,BDIR72FL.DTA,Bangladesh,2014
1 Year,0.08180987,BDIR61FL.DTA,Bangladesh,2011
2 Year,0.077644798,BDIR61FL.DTA,Bangladesh,2011
3 Year,0.0808637,BDIR61FL.DTA,Bangladesh,2011
4 Year,0.070251992,BDIR61FL.DTA,Bangladesh,2011
5+ Years,0.253111077,BDIR61FL.DTA,Bangladesh,2011
Under a Year,0.436318564,BDIR61FL.DTA,Bangladesh,2011
1 Year,0.084466172,BJIR71FL.DTA,Benin,2017
2 Year,0.092790271,BJIR71FL.DTA,Benin,2017
3 Year,0.092480847,BJIR71FL.DTA,Benin,2017
4 Year,0.079196779,BJIR71FL.DTA,Benin,2017
5+ Years,0.476839347,BJIR71FL.DTA,Benin,2017
Under a Year,0.174226584,BJIR71FL.DTA,Benin,2017
1 Year,0.062854103,BJIR61FL.DTA,Benin,2011
2 Year,0.063442845,BJIR61FL.DTA,Benin,2011
3 Year,0.070896336,BJIR61FL.DTA,Benin,2011
4 Year,0.071646435,BJIR61FL.DTA,Benin,2011
5+ Years,0.32157087,BJIR61FL.DTA,Benin,2011
Under a Year,0.409589411,BJIR61FL.DTA,Benin,2011
1 Year,0.131697644,BFIR62FL.DTA,Burkina Faso,2010
2 Year,0.157815151,BFIR62FL.DTA,Burkina Faso,2010
3 Year,0.148408896,BFIR62FL.DTA,Burkina Faso,2010
4 Year,0.10120614,BFIR62FL.DTA,Burkina Faso,2010
5+ Years,0.202738882,BFIR62FL.DTA,Burkina Faso,2010
Under a Year,0.258133287,BFIR62FL.DTA,Burkina Faso,2010
1 Year,0.148770624,BUIR70FL.DTA,Burundi,2016
2 Year,0.138564414,BUIR70FL.DTA,Burundi,2016
3 Year,0.11939004,BUIR70FL.DTA,Burundi,2016
4 Year,0.079702767,BUIR70FL.DTA,Burundi,2016
5+ Years,0.293583991,BUIR70FL.DTA,Burundi,2016
Under a Year,0.219988164,BUIR70FL.DTA,Burundi,2016
1 Year,0.089755278,KHIR73FL.DTA,Cambodia,2014
2 Year,0.091700156,KHIR73FL.DTA,Cambodia,2014
3 Year,0.092710712,KHIR73FL.DTA,Cambodia,2014
4 Year,0.071138442,KHIR73FL.DTA,Cambodia,2014
5+ Years,0.373259018,KHIR73FL.DTA,Cambodia,2014
Under a Year,0.281436393,KHIR73FL.DTA,Cambodia,2014
1 Year,0.065685437,KMIR61FL.DTA,Comoros,2012
2 Year,0.103582365,KMIR61FL.DTA,Comoros,2012
3 Year,0.070161887,KMIR61FL.DTA,Comoros,2012
4 Year,0.05457485,KMIR61FL.DTA,Comoros,2012
5+ Years,0.536832348,KMIR61FL.DTA,Comoros,2012
Under a Year,0.169163114,KMIR61FL.DTA,Comoros,2012
1 Year,0.084635495,EGIR61FL.DTA,Egypt,2014
2 Year,0.092461115,EGIR61FL.DTA,Egypt,2014
3 Year,0.079849732,EGIR61FL.DTA,Egypt,2014
4 Year,0.061712207,EGIR61FL.DTA,Egypt,2014
5+ Years,0.238950869,EGIR61FL.DTA,Egypt,2014
Under a Year,0.442390581,EGIR61FL.DTA,Egypt,2014
1 Year,0.115430801,ETIR70FL.DTA,Ethiopia,2016
2 Year,0.154315663,ETIR70FL.DTA,Ethiopia,2016
3 Year,0.102368496,ETIR70FL.DTA,Ethiopia,2016
4 Year,0.072566374,ETIR70FL.DTA,Ethiopia,2016
5+ Years,0.209905645,ETIR70FL.DTA,Ethiopia,2016
Under a Year,0.345413022,ETIR70FL.DTA,Ethiopia,2016
1 Year,0.096262769,GMIR81FL.DTA,Gambia,2019
2 Year,0.102481466,GMIR81FL.DTA,Gambia,2019
3 Year,0.101318929,GMIR81FL.DTA,Gambia,2019
4 Year,0.08036555,GMIR81FL.DTA,Gambia,2019
5+ Years,0.469262935,GMIR81FL.DTA,Gambia,2019
Under a Year,0.150308351,GMIR81FL.DTA,Gambia,2019
1 Year,0.070704939,GMIR60FL.DTA,Gambia,2013
2 Year,0.066725569,GMIR60FL.DTA,Gambia,2013
3 Year,0.07242965,GMIR60FL.DTA,Gambia,2013
4 Year,0.035383621,GMIR60FL.DTA,Gambia,2013
5+ Years,0.622922364,GMIR60FL.DTA,Gambia,2013
Under a Year,0.131833856,GMIR60FL.DTA,Gambia,2013
1 Year,0.061963718,GHIR72FL.DTA,Ghana,2014
2 Year,0.07448682,GHIR72FL.DTA,Ghana,2014
3 Year,0.091056138,GHIR72FL.DTA,Ghana,2014
4 Year,0.072472602,GHIR72FL.DTA,Ghana,2014
5+ Years,0.523992575,GHIR72FL.DTA,Ghana,2014
Under a Year,0.176028147,GHIR72FL.DTA,Ghana,2014
1 Year,0.10438035,GUIR71FL.DTA,Guatemala,2014
2 Year,0.08663052,GUIR71FL.DTA,Guatemala,2014
3 Year,0.098488179,GUIR71FL.DTA,Guatemala,2014
4 Year,0.092860863,GUIR71FL.DTA,Guatemala,2014
5+ Years,0.28531239,GUIR71FL.DTA,Guatemala,2014
Under a Year,0.332327698,GUIR71FL.DTA,Guatemala,2014
1 Year,0.118665102,GNIR71FL.DTA,Guinea,2018
2 Year,0.117719855,GNIR71FL.DTA,Guinea,2018
3 Year,0.090889112,GNIR71FL.DTA,Guinea,2018
4 Year,0.059747488,GNIR71FL.DTA,Guinea,2018
5+ Years,0.326739937,GNIR71FL.DTA,Guinea,2018
Under a Year,0.286238505,GNIR71FL.DTA,Guinea,2018
1 Year,0.097801675,HNIR62FL.DTA,Honduras,2011
2 Year,0.098671761,HNIR62FL.DTA,Honduras,2011
3 Year,0.107959471,HNIR62FL.DTA,Honduras,2011
4 Year,0.097783227,HNIR62FL.DTA,Honduras,2011
5+ Years,0.263187489,HNIR62FL.DTA,Honduras,2011
Under a Year,0.334596377,HNIR62FL.DTA,Honduras,2011
1 Year,0.065148748,IAIR7DFL.DTA,India,2019
2 Year,0.060588338,IAIR7DFL.DTA,India,2019
3 Year,0.063516795,IAIR7DFL.DTA,India,2019
4 Year,0.057499221,IAIR7DFL.DTA,India,2019
5+ Years,0.500906963,IAIR7DFL.DTA,India,2019
Under a Year,0.252339935,IAIR7DFL.DTA,India,2019
1 Year,0.056668052,IAIR73FL.DTA,India,2015
2 Year,0.058342382,IAIR73FL.DTA,India,2015
3 Year,0.053446037,IAIR73FL.DTA,India,2015
4 Year,0.043187903,IAIR73FL.DTA,India,2015
5+ Years,0.377256562,IAIR73FL.DTA,India,2015
Under a Year,0.166735622,IAIR73FL.DTA,India,2015
"yes, used in calendar",0.244363442,IAIR73FL.DTA,India,2015
1 Year,0.062179496,IDIR71FL.DTA,Indonesia,2017
2 Year,0.051359314,IDIR71FL.DTA,Indonesia,2017
3 Year,0.035079367,IDIR71FL.DTA,Indonesia,2017
4 Year,0.0328482,IDIR71FL.DTA,Indonesia,2017
5+ Years,0.373454735,IDIR71FL.DTA,Indonesia,2017
Under a Year,0.445078888,IDIR71FL.DTA,Indonesia,2017
1 Year,0.058489628,IDIR63FL.DTA,Indonesia,2012
2 Year,0.054159421,IDIR63FL.DTA,Indonesia,2012
3 Year,0.042376663,IDIR63FL.DTA,Indonesia,2012
4 Year,0.03648733,IDIR63FL.DTA,Indonesia,2012
5+ Years,0.383180941,IDIR63FL.DTA,Indonesia,2012
Under a Year,0.425306018,IDIR63FL.DTA,Indonesia,2012
1 Year,0.07723741,JOIR72FL.DTA,Jordan,2017
2 Year,0.060656746,JOIR72FL.DTA,Jordan,2017
3 Year,0.062267348,JOIR72FL.DTA,Jordan,2017
4 Year,0.048619473,JOIR72FL.DTA,Jordan,2017
5+ Years,0.357960649,JOIR72FL.DTA,Jordan,2017
Under a Year,0.393258374,JOIR72FL.DTA,Jordan,2017
1 Year,0.109641485,JOIR6CFL.DTA,Jordan,2012
2 Year,0.076455463,JOIR6CFL.DTA,Jordan,2012
3 Year,0.07330562,JOIR6CFL.DTA,Jordan,2012
4 Year,0.072346636,JOIR6CFL.DTA,Jordan,2012
5+ Years,0.273503501,JOIR6CFL.DTA,Jordan,2012
Under a Year,0.394747295,JOIR6CFL.DTA,Jordan,2012
1 Year,0.042549457,KEIR72FL.DTA,Kenya,2014
2 Year,0.039325262,KEIR72FL.DTA,Kenya,2014
3 Year,0.038678784,KEIR72FL.DTA,Kenya,2014
4 Year,0.040767802,KEIR72FL.DTA,Kenya,2014
5+ Years,0.671944139,KEIR72FL.DTA,Kenya,2014
Under a Year,0.166734557,KEIR72FL.DTA,Kenya,2014
1 Year,0.08699879,LSIR71FL.DTA,Lesotho,2014
2 Year,0.06974846,LSIR71FL.DTA,Lesotho,2014
3 Year,0.085170188,LSIR71FL.DTA,Lesotho,2014
4 Year,0.082348123,LSIR71FL.DTA,Lesotho,2014
5+ Years,0.274174527,LSIR71FL.DTA,Lesotho,2014
Under a Year,0.401559913,LSIR71FL.DTA,Lesotho,2014
1 Year,0.103327689,LBIR7AFL.DTA,Liberia,2019
2 Year,0.10134167,LBIR7AFL.DTA,Liberia,2019
3 Year,0.093328222,LBIR7AFL.DTA,Liberia,2019
4 Year,0.074527356,LBIR7AFL.DTA,Liberia,2019
5+ Years,0.377588094,LBIR7AFL.DTA,Liberia,2019
Under a Year,0.249886969,LBIR7AFL.DTA,Liberia,2019
1 Year,0.085435991,LBIR6AFL.DTA,Liberia,2013
2 Year,0.093712279,LBIR6AFL.DTA,Liberia,2013
3 Year,0.111193636,LBIR6AFL.DTA,Liberia,2013
4 Year,0.119435278,LBIR6AFL.DTA,Liberia,2013
5+ Years,0.423791529,LBIR6AFL.DTA,Liberia,2013
Under a Year,0.166431288,LBIR6AFL.DTA,Liberia,2013
1 Year,0.122739555,MDIR81FL.DTA,Madagascar,2021
2 Year,0.116034027,MDIR81FL.DTA,Madagascar,2021
3 Year,0.082577516,MDIR81FL.DTA,Madagascar,2021
4 Year,0.056188768,MDIR81FL.DTA,Madagascar,2021
5+ Years,0.256848854,MDIR81FL.DTA,Madagascar,2021
Under a Year,0.365611279,MDIR81FL.DTA,Madagascar,2021
1 Year,0.108551702,MWIR7AFL.DTA,Malawi,2015
2 Year,0.123090215,MWIR7AFL.DTA,Malawi,2015
3 Year,0.10894946,MWIR7AFL.DTA,Malawi,2015
4 Year,0.083129844,MWIR7AFL.DTA,Malawi,2015
5+ Years,0.314384742,MWIR7AFL.DTA,Malawi,2015
Under a Year,0.261894038,MWIR7AFL.DTA,Malawi,2015
1 Year,0.04774335,MVIR71FL.DTA,Maldives,2016
2 Year,0.038977215,MVIR71FL.DTA,Maldives,2016
3 Year,0.034932131,MVIR71FL.DTA,Maldives,2016
