Var1,Freq,WhyDisc,SurveyName,Country,StartYear
All Former Users,0.083720651,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.546380305,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.036629539,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.150102102,Side Effects,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.004244597,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.005055112,Wanted More Effective Method,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.007091649,Inconvenient To Use,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.012575172,"Infrequent Sex, Husband Away",AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.005960374,Cost,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.022051679,Fatalistic,AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.012553232,"Difficult Pregnancy, Menopause",AFIR70FL.DTA,Afghanistan,2015
All Former Users,0.113552811,Other,AFIR70FL.DTA,Afghanistan,2015
All Former Users,8.28E-05,Don't Know,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.008939141,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.096201947,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.030700012,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0.050785317,Became Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.1894405,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.571266757,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.5495926,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0.212546896,Wanted To Become Pregnant,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.006173993,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.040513645,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.025541396,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0,Husband Disapproved,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.384419449,Side Effects,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.144049039,Side Effects,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.087260521,Side Effects,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,Side Effects,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0,Side Effects,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.002993968,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.017008837,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
"Not Married, Sexually Active",0,"Access, Availability",AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.005054785,Wanted More Effective Method,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.005752058,Wanted More Effective Method,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0,Wanted More Effective Method,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0,Wanted More Effective Method,AFIR70FL.DTA,Afghanistan,2015
