Method,Var,Freq,SurveyName,Country,StartYear
Pill,Method Information Index,0.264749506,AFIR70FL.DTA,Afghanistan,2015
IUD,Method Information Index,0.483620687,AFIR70FL.DTA,Afghanistan,2015
Injections,Method Information Index,0.45902725,AFIR70FL.DTA,Afghanistan,2015
Female Sterilization,Method Information Index,0.284678032,AFIR70FL.DTA,Afghanistan,2015
Implant,Method Information Index,0.621186899,AFIR70FL.DTA,Afghanistan,2015
Pill,Told About Other Methods,0.455500702,AFIR70FL.DTA,Afghanistan,2015
IUD,Told About Other Methods,0.671273025,AFIR70FL.DTA,Afghanistan,2015
Injections,Told About Other Methods,0.647856201,AFIR70FL.DTA,Afghanistan,2015
Female Sterilization,Told About Other Methods,0.410440191,AFIR70FL.DTA,Afghanistan,2015
Implant,Told About Other Methods,0.721988242,AFIR70FL.DTA,Afghanistan,2015
Pill,Told About Side Effects,0.38245125,AFIR70FL.DTA,Afghanistan,2015
IUD,Told About Side Effects,0.614715771,AFIR70FL.DTA,Afghanistan,2015
Injections,Told About Side Effects,0.578676856,AFIR70FL.DTA,Afghanistan,2015
Female Sterilization,Told About Side Effects,0.495976592,AFIR70FL.DTA,Afghanistan,2015
Implant,Told About Side Effects,0.834993256,AFIR70FL.DTA,Afghanistan,2015
Pill,Told What to Do About Side Effects,0.30061736,AFIR70FL.DTA,Afghanistan,2015
IUD,Told What to Do About Side Effects,0.532680393,AFIR70FL.DTA,Afghanistan,2015
Injections,Told What to Do About Side Effects,0.50022299,AFIR70FL.DTA,Afghanistan,2015
Female Sterilization,Told What to Do About Side Effects,0.402820192,AFIR70FL.DTA,Afghanistan,2015
Implant,Told What to Do About Side Effects,0.718819427,AFIR70FL.DTA,Afghanistan,2015
Total,Method Information Index,0.355755199,AFIR70FL.DTA,Afghanistan,2015
Total,Told About Other Methods,0.540044082,AFIR70FL.DTA,Afghanistan,2015
Total,Told About Side Effects,0.482989491,AFIR70FL.DTA,Afghanistan,2015
Total,Told What to Do About Side Effects,0.401097465,AFIR70FL.DTA,Afghanistan,2015
Pill,Method Information Index,0.373213928,AOIR71FL.DTA,Angola,2015
IUD,Method Information Index,0.188536139,AOIR71FL.DTA,Angola,2015
Injections,Method Information Index,0.506067151,AOIR71FL.DTA,Angola,2015
Female Sterilization,Method Information Index,0.725638994,AOIR71FL.DTA,Angola,2015
Implant,Method Information Index,0.688624654,AOIR71FL.DTA,Angola,2015
Pill,Told About Other Methods,0.608945783,AOIR71FL.DTA,Angola,2015
IUD,Told About Other Methods,0.78423465,AOIR71FL.DTA,Angola,2015
Injections,Told About Other Methods,0.670258315,AOIR71FL.DTA,Angola,2015
Female Sterilization,Told About Other Methods,0.725638994,AOIR71FL.DTA,Angola,2015
Implant,Told About Other Methods,0.859876035,AOIR71FL.DTA,Angola,2015
Pill,Told About Side Effects,0.553533988,AOIR71FL.DTA,Angola,2015
IUD,Told About Side Effects,0.575502779,AOIR71FL.DTA,Angola,2015
Injections,Told About Side Effects,0.721614821,AOIR71FL.DTA,Angola,2015
Female Sterilization,Told About Side Effects,1,AOIR71FL.DTA,Angola,2015
Implant,Told About Side Effects,0.834414021,AOIR71FL.DTA,Angola,2015
Pill,Told What to Do About Side Effects,0.451952056,AOIR71FL.DTA,Angola,2015
IUD,Told What to Do About Side Effects,0.188536139,AOIR71FL.DTA,Angola,2015
Injections,Told What to Do About Side Effects,0.617164596,AOIR71FL.DTA,Angola,2015
Female Sterilization,Told What to Do About Side Effects,0.725638994,AOIR71FL.DTA,Angola,2015
Implant,Told What to Do About Side Effects,0.743465689,AOIR71FL.DTA,Angola,2015
Total,Method Information Index,0.462806021,AOIR71FL.DTA,Angola,2015
Total,Told About Other Methods,0.656987418,AOIR71FL.DTA,Angola,2015
Total,Told About Side Effects,0.661344666,AOIR71FL.DTA,Angola,2015
Total,Told What to Do About Side Effects,0.553847037,AOIR71FL.DTA,Angola,2015
Pill,Method Information Index,0.540388048,AMIR71FL.DTA,Armenia,2015
IUD,Method Information Index,0.614908821,AMIR71FL.DTA,Armenia,2015
Injections,Method Information Index,1,AMIR71FL.DTA,Armenia,2015
Female Sterilization,Method Information Index,0.678418067,AMIR71FL.DTA,Armenia,2015
Pill,Told About Other Methods,0.659638368,AMIR71FL.DTA,Armenia,2015
IUD,Told About Other Methods,0.64033618,AMIR71FL.DTA,Armenia,2015
Injections,Told About Other Methods,1,AMIR71FL.DTA,Armenia,2015
Female Sterilization,Told About Other Methods,0.678418067,AMIR71FL.DTA,Armenia,2015
