Group,Freq,SurveyName,Country,StartYear
"Infecund, Menopausal",0.057055582,AFIR70FL.DTA,Afghanistan,2015
"Married, Does Not Want Child within 2 Years",0.846969464,AFIR70FL.DTA,Afghanistan,2015
"Married, Wants Child within 2 Years",0.094687166,AFIR70FL.DTA,Afghanistan,2015
"Not Married, Not Sexually Active",0.001287788,AFIR70FL.DTA,Afghanistan,2015
"Infecund, Menopausal",0.099699192,AOIR71FL.DTA,Angola,2015
"Married, Does Not Want Child within 2 Years",0.372745064,AOIR71FL.DTA,Angola,2015
"Married, Wants Child within 2 Years",0.056192139,AOIR71FL.DTA,Angola,2015
"Not Married, Not Sexually Active",0.312185988,AOIR71FL.DTA,Angola,2015
"Not Married, Sexually Active",0.159177617,AOIR71FL.DTA,Angola,2015
"Infecund, Menopausal",0.0267707,AMIR71FL.DTA,Armenia,2015
"Married, Does Not Want Child within 2 Years",0.17683096,AMIR71FL.DTA,Armenia,2015
"Married, Wants Child within 2 Years",0.079848098,AMIR71FL.DTA,Armenia,2015
"Not Married, Not Sexually Active",0.711744086,AMIR71FL.DTA,Armenia,2015
"Not Married, Sexually Active",0.004806156,AMIR71FL.DTA,Armenia,2015
"Infecund, Menopausal",0.045705712,AMIR61FL.DTA,Armenia,2010
"Married, Does Not Want Child within 2 Years",0.183190241,AMIR61FL.DTA,Armenia,2010
"Married, Wants Child within 2 Years",0.07700773,AMIR61FL.DTA,Armenia,2010
"Not Married, Not Sexually Active",0.693645585,AMIR61FL.DTA,Armenia,2010
"Not Married, Sexually Active",0.000450731,AMIR61FL.DTA,Armenia,2010
"Infecund, Menopausal",0.203963745,BDIR7RFL.DTA,Bangladesh,2017
"Married, Does Not Want Child within 2 Years",0.533025594,BDIR7RFL.DTA,Bangladesh,2017
"Married, Wants Child within 2 Years",0.263010661,BDIR7RFL.DTA,Bangladesh,2017
"Infecund, Menopausal",0.172671068,BDIR72FL.DTA,Bangladesh,2014
"Married, Does Not Want Child within 2 Years",0.631412292,BDIR72FL.DTA,Bangladesh,2014
"Married, Wants Child within 2 Years",0.19591664,BDIR72FL.DTA,Bangladesh,2014
"Infecund, Menopausal",0.180605088,BDIR61FL.DTA,Bangladesh,2011
"Married, Does Not Want Child within 2 Years",0.599425758,BDIR61FL.DTA,Bangladesh,2011
"Married, Wants Child within 2 Years",0.219969154,BDIR61FL.DTA,Bangladesh,2011
"Infecund, Menopausal",0.070716475,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",0.454208806,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",0.130554668,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",0.259430745,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",0.085089306,BJIR71FL.DTA,Benin,2017
"Infecund, Menopausal",0.080301381,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",0.421274511,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",0.166160351,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",0.262497801,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",0.069765955,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",0.07153231,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",0.584006028,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",0.116847648,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",0.204660282,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",0.022953732,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",0.065927914,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",0.257314435,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",0.038042283,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",0.603825,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",0.034890369,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",0.075594323,BUIR61FL.DTA,Burundi,2010
"Married, Does Not Want Child within 2 Years",0.384463986,BUIR61FL.DTA,Burundi,2010
"Married, Wants Child within 2 Years",0.053471696,BUIR61FL.DTA,Burundi,2010
"Not Married, Not Sexually Active",0.454628533,BUIR61FL.DTA,Burundi,2010
"Not Married, Sexually Active",0.031841462,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",0.040292767,KHIR73FL.DTA,Cambodia,2014
"Married, Does Not Want Child within 2 Years",0.224293153,KHIR73FL.DTA,Cambodia,2014
"Married, Wants Child within 2 Years",0.055221448,KHIR73FL.DTA,Cambodia,2014
"Not Married, Not Sexually Active",0.675472328,KHIR73FL.DTA,Cambodia,2014
"Not Married, Sexually Active",0.004720304,KHIR73FL.DTA,Cambodia,2014
"Infecund, Menopausal",0.073070881,CMIR61FL.DTA,Cameroon,2011
"Married, Does Not Want Child within 2 Years",0.386795972,CMIR61FL.DTA,Cameroon,2011
"Married, Wants Child within 2 Years",0.106976146,CMIR61FL.DTA,Cameroon,2011
"Not Married, Not Sexually Active",0.370051897,CMIR61FL.DTA,Cameroon,2011
"Not Married, Sexually Active",0.063105103,CMIR61FL.DTA,Cameroon,2011
"Infecund, Menopausal",0.059205583,TDIR71FL.DTA,Chad,2014
"Married, Does Not Want Child within 2 Years",0.589370247,TDIR71FL.DTA,Chad,2014
"Married, Wants Child within 2 Years",0.092977489,TDIR71FL.DTA,Chad,2014
"Not Married, Not Sexually Active",0.199913358,TDIR71FL.DTA,Chad,2014
"Not Married, Sexually Active",0.058533323,TDIR71FL.DTA,Chad,2014
"Infecund, Menopausal",0.075928038,KMIR61FL.DTA,Comoros,2012
"Married, Does Not Want Child within 2 Years",0.362111173,KMIR61FL.DTA,Comoros,2012
"Married, Wants Child within 2 Years",0.059670123,KMIR61FL.DTA,Comoros,2012
"Not Married, Not Sexually Active",0.493794708,KMIR61FL.DTA,Comoros,2012
"Not Married, Sexually Active",0.008495958,KMIR61FL.DTA,Comoros,2012
"Infecund, Menopausal",0.084120175,CGIR60FL.DTA,Congo,2011
"Married, Does Not Want Child within 2 Years",0.389553042,CGIR60FL.DTA,Congo,2011
"Married, Wants Child within 2 Years",0.038755499,CGIR60FL.DTA,Congo,2011
"Not Married, Not Sexually Active",0.35826291,CGIR60FL.DTA,Congo,2011
"Not Married, Sexually Active",0.129308375,CGIR60FL.DTA,Congo,2011
"Infecund, Menopausal",0.025548995,DRIR61FL.DTA,Dominican Republic,2013
"Married, Does Not Want Child within 2 Years",0.068811916,DRIR61FL.DTA,Dominican Republic,2013
"Married, Wants Child within 2 Years",0.031320452,DRIR61FL.DTA,Dominican Republic,2013
"Not Married, Not Sexually Active",0.826283634,DRIR61FL.DTA,Dominican Republic,2013
"Not Married, Sexually Active",0.048035003,DRIR61FL.DTA,Dominican Republic,2013
"Infecund, Menopausal",0.045385811,EGIR61FL.DTA,Egypt,2014
"Married, Does Not Want Child within 2 Years",0.628564046,EGIR61FL.DTA,Egypt,2014
"Married, Wants Child within 2 Years",0.326050143,EGIR61FL.DTA,Egypt,2014
"Infecund, Menopausal",0.078031769,ETIR70FL.DTA,Ethiopia,2016
"Married, Does Not Want Child within 2 Years",0.286474996,ETIR70FL.DTA,Ethiopia,2016
"Married, Wants Child within 2 Years",0.036967377,ETIR70FL.DTA,Ethiopia,2016
"Not Married, Not Sexually Active",0.583020726,ETIR70FL.DTA,Ethiopia,2016
"Not Married, Sexually Active",0.015505132,ETIR70FL.DTA,Ethiopia,2016
"Infecund, Menopausal",0.152380773,ETIR61FL.DTA,Ethiopia,2011
"Married, Does Not Want Child within 2 Years",0.355660288,ETIR61FL.DTA,Ethiopia,2011
"Married, Wants Child within 2 Years",0.030677579,ETIR61FL.DTA,Ethiopia,2011
"Not Married, Not Sexually Active",0.443076725,ETIR61FL.DTA,Ethiopia,2011
"Not Married, Sexually Active",0.018204634,ETIR61FL.DTA,Ethiopia,2011
"Infecund, Menopausal",0.083738762,GAIR60FL.DTA,Gabon,2012
"Married, Does Not Want Child within 2 Years",0.346011177,GAIR60FL.DTA,Gabon,2012
"Married, Wants Child within 2 Years",0.039678444,GAIR60FL.DTA,Gabon,2012
"Not Married, Not Sexually Active",0.362369818,GAIR60FL.DTA,Gabon,2012
"Not Married, Sexually Active",0.168201798,GAIR60FL.DTA,Gabon,2012
"Infecund, Menopausal",0.055644976,GMIR81FL.DTA,Gambia,2019
"Married, Does Not Want Child within 2 Years",0.282594728,GMIR81FL.DTA,Gambia,2019
"Married, Wants Child within 2 Years",0.108034328,GMIR81FL.DTA,Gambia,2019
"Not Married, Not Sexually Active",0.524204561,GMIR81FL.DTA,Gambia,2019
"Not Married, Sexually Active",0.029521407,GMIR81FL.DTA,Gambia,2019
"Infecund, Menopausal",0.046919039,GMIR60FL.DTA,Gambia,2013
"Married, Does Not Want Child within 2 Years",0.370378122,GMIR60FL.DTA,Gambia,2013
"Married, Wants Child within 2 Years",0.108635185,GMIR60FL.DTA,Gambia,2013
"Not Married, Not Sexually Active",0.443137563,GMIR60FL.DTA,Gambia,2013
"Not Married, Sexually Active",0.030930092,GMIR60FL.DTA,Gambia,2013
"Infecund, Menopausal",0.051827852,GHIR72FL.DTA,Ghana,2014
"Married, Does Not Want Child within 2 Years",0.358955098,GHIR72FL.DTA,Ghana,2014
"Married, Wants Child within 2 Years",0.054707482,GHIR72FL.DTA,Ghana,2014
"Not Married, Not Sexually Active",0.443142794,GHIR72FL.DTA,Ghana,2014
"Not Married, Sexually Active",0.091366774,GHIR72FL.DTA,Ghana,2014
"Infecund, Menopausal",0.030050303,GUIR71FL.DTA,Guatemala,2014
"Married, Does Not Want Child within 2 Years",0.15172059,GUIR71FL.DTA,Guatemala,2014
"Married, Wants Child within 2 Years",0.022945558,GUIR71FL.DTA,Guatemala,2014
"Not Married, Not Sexually Active",0.760294405,GUIR71FL.DTA,Guatemala,2014
"Not Married, Sexually Active",0.034989144,GUIR71FL.DTA,Guatemala,2014
"Infecund, Menopausal",0.084994015,GNIR71FL.DTA,Guinea,2018
"Married, Does Not Want Child within 2 Years",0.359990257,GNIR71FL.DTA,Guinea,2018
"Married, Wants Child within 2 Years",0.183232611,GNIR71FL.DTA,Guinea,2018
"Not Married, Not Sexually Active",0.324098139,GNIR71FL.DTA,Guinea,2018
"Not Married, Sexually Active",0.047684978,GNIR71FL.DTA,Guinea,2018
"Infecund, Menopausal",0.060146763,GNIR62FL.DTA,Guinea,2012
"Married, Does Not Want Child within 2 Years",0.499824984,GNIR62FL.DTA,Guinea,2012
"Married, Wants Child within 2 Years",0.134932085,GNIR62FL.DTA,Guinea,2012
"Not Married, Not Sexually Active",0.236698616,GNIR62FL.DTA,Guinea,2012
"Not Married, Sexually Active",0.068397553,GNIR62FL.DTA,Guinea,2012
"Infecund, Menopausal",0.018544027,HNIR62FL.DTA,Honduras,2011
"Married, Does Not Want Child within 2 Years",0.057618973,HNIR62FL.DTA,Honduras,2011
"Married, Wants Child within 2 Years",0.017242238,HNIR62FL.DTA,Honduras,2011
"Not Married, Not Sexually Active",0.89965719,HNIR62FL.DTA,Honduras,2011
