Var1,Var2,Freq,SurveyName,Country,StartYear
15-24,Current User,0.040871012,AFIR70FL.DTA,Afghanistan,2015
25-39,Current User,0.125151289,AFIR70FL.DTA,Afghanistan,2015
40-49,Current User,0.052943065,AFIR70FL.DTA,Afghanistan,2015
15-24,Former User,0.021296469,AFIR70FL.DTA,Afghanistan,2015
25-39,Former User,0.073425402,AFIR70FL.DTA,Afghanistan,2015
40-49,Former User,0.02521591,AFIR70FL.DTA,Afghanistan,2015
15-24,Never Used,0.206476185,AFIR70FL.DTA,Afghanistan,2015
25-39,Never Used,0.312755522,AFIR70FL.DTA,Afghanistan,2015
40-49,Never Used,0.141865147,AFIR70FL.DTA,Afghanistan,2015
15-24,Current User,0.058382806,AOIR71FL.DTA,Angola,2015
25-39,Current User,0.065613698,AOIR71FL.DTA,Angola,2015
40-49,Current User,0.009098451,AOIR71FL.DTA,Angola,2015
15-24,Former User,0.039068804,AOIR71FL.DTA,Angola,2015
25-39,Former User,0.056424589,AOIR71FL.DTA,Angola,2015
40-49,Former User,0.014421723,AOIR71FL.DTA,Angola,2015
15-24,Never Used,0.35405292,AOIR71FL.DTA,Angola,2015
25-39,Never Used,0.278258095,AOIR71FL.DTA,Angola,2015
40-49,Never Used,0.124678915,AOIR71FL.DTA,Angola,2015
15-24,Current User,0.027484425,AMIR71FL.DTA,Armenia,2015
25-39,Current User,0.236506316,AMIR71FL.DTA,Armenia,2015
40-49,Current User,0.103170214,AMIR71FL.DTA,Armenia,2015
15-24,Former User,0.005739036,AMIR71FL.DTA,Armenia,2015
25-39,Former User,0.056650334,AMIR71FL.DTA,Armenia,2015
40-49,Former User,0.05885084,AMIR71FL.DTA,Armenia,2015
15-24,Never Used,0.237097616,AMIR71FL.DTA,Armenia,2015
25-39,Never Used,0.19293513,AMIR71FL.DTA,Armenia,2015
40-49,Never Used,0.081566089,AMIR71FL.DTA,Armenia,2015
15-24,Current User,0.033066269,AMIR61FL.DTA,Armenia,2010
25-39,Current User,0.20266048,AMIR61FL.DTA,Armenia,2010
40-49,Current User,0.103036115,AMIR61FL.DTA,Armenia,2010
15-24,Former User,0.007441868,AMIR61FL.DTA,Armenia,2010
25-39,Former User,0.044578963,AMIR61FL.DTA,Armenia,2010
40-49,Former User,0.074006912,AMIR61FL.DTA,Armenia,2010
15-24,Never Used,0.27910621,AMIR61FL.DTA,Armenia,2010
25-39,Never Used,0.163244273,AMIR61FL.DTA,Armenia,2010
40-49,Never Used,0.092858911,AMIR61FL.DTA,Armenia,2010
15-24,Current User,0.143625536,BDIR7RFL.DTA,Bangladesh,2017
25-39,Current User,0.326470882,BDIR7RFL.DTA,Bangladesh,2017
40-49,Current User,0.113307326,BDIR7RFL.DTA,Bangladesh,2017
15-24,Former User,0.085379252,BDIR7RFL.DTA,Bangladesh,2017
25-39,Former User,0.131203825,BDIR7RFL.DTA,Bangladesh,2017
40-49,Former User,0.087156224,BDIR7RFL.DTA,Bangladesh,2017
15-24,Never Used,0.050151346,BDIR7RFL.DTA,Bangladesh,2017
25-39,Never Used,0.03557477,BDIR7RFL.DTA,Bangladesh,2017
40-49,Never Used,0.027130839,BDIR7RFL.DTA,Bangladesh,2017
15-24,Current User,0.161747941,BDIR72FL.DTA,Bangladesh,2014
25-39,Current User,0.331530243,BDIR72FL.DTA,Bangladesh,2014
40-49,Current User,0.096048621,BDIR72FL.DTA,Bangladesh,2014
15-24,Former User,0.072525565,BDIR72FL.DTA,Bangladesh,2014
25-39,Former User,0.094700886,BDIR72FL.DTA,Bangladesh,2014
40-49,Former User,0.059427528,BDIR72FL.DTA,Bangladesh,2014
15-24,Never Used,0.059785262,BDIR72FL.DTA,Bangladesh,2014
25-39,Never Used,0.063702591,BDIR72FL.DTA,Bangladesh,2014
40-49,Never Used,0.060531363,BDIR72FL.DTA,Bangladesh,2014
15-24,Current User,0.161850672,BDIR61FL.DTA,Bangladesh,2011
25-39,Current User,0.305928445,BDIR61FL.DTA,Bangladesh,2011
40-49,Current User,0.105937926,BDIR61FL.DTA,Bangladesh,2011
15-24,Former User,0.082818536,BDIR61FL.DTA,Bangladesh,2011
25-39,Former User,0.104598666,BDIR61FL.DTA,Bangladesh,2011
40-49,Former User,0.060856022,BDIR61FL.DTA,Bangladesh,2011
15-24,Never Used,0.064278949,BDIR61FL.DTA,Bangladesh,2011
25-39,Never Used,0.056770273,BDIR61FL.DTA,Bangladesh,2011
40-49,Never Used,0.056960511,BDIR61FL.DTA,Bangladesh,2011
15-24,Current User,0.042315352,BJIR71FL.DTA,Benin,2017
25-39,Current User,0.078489215,BJIR71FL.DTA,Benin,2017
40-49,Current User,0.023324586,BJIR71FL.DTA,Benin,2017
15-24,Former User,0.037551736,BJIR71FL.DTA,Benin,2017
25-39,Former User,0.097490279,BJIR71FL.DTA,Benin,2017
40-49,Former User,0.031877072,BJIR71FL.DTA,Benin,2017
15-24,Never Used,0.313937777,BJIR71FL.DTA,Benin,2017
25-39,Never Used,0.267926153,BJIR71FL.DTA,Benin,2017
40-49,Never Used,0.10708783,BJIR71FL.DTA,Benin,2017
15-24,Current User,0.049285187,BJIR61FL.DTA,Benin,2011
25-39,Current User,0.068340593,BJIR61FL.DTA,Benin,2011
40-49,Current User,0.022343311,BJIR61FL.DTA,Benin,2011
15-24,Former User,0.042990387,BJIR61FL.DTA,Benin,2011
25-39,Former User,0.0692526,BJIR61FL.DTA,Benin,2011
40-49,Former User,0.025870126,BJIR61FL.DTA,Benin,2011
15-24,Never Used,0.257127138,BJIR61FL.DTA,Benin,2011
25-39,Never Used,0.347837674,BJIR61FL.DTA,Benin,2011
40-49,Never Used,0.116952984,BJIR61FL.DTA,Benin,2011
15-24,Current User,0.047519798,BFIR62FL.DTA,Burkina Faso,2010
25-39,Current User,0.081039438,BFIR62FL.DTA,Burkina Faso,2010
40-49,Current User,0.024235168,BFIR62FL.DTA,Burkina Faso,2010
15-24,Former User,0.017425343,BFIR62FL.DTA,Burkina Faso,2010
