Var1,Var2,Freq,SurveyName,Country,StartYear
Married,Current User,0.218678907,AFIR70FL.DTA,Afghanistan,2015
MISSING,Current User,0.000140855,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Current User,0.000145603,AFIR70FL.DTA,Afghanistan,2015
UMSA,Current User,0,AFIR70FL.DTA,Afghanistan,2015
Married,Former User,0.115861482,AFIR70FL.DTA,Afghanistan,2015
MISSING,Former User,0.000150869,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Former User,0.003821718,AFIR70FL.DTA,Afghanistan,2015
UMSA,Former User,0.000103711,AFIR70FL.DTA,Afghanistan,2015
Married,Never Used,0.638641483,AFIR70FL.DTA,Afghanistan,2015
MISSING,Never Used,0.000271386,AFIR70FL.DTA,Afghanistan,2015
UMNSA,Never Used,0.021326188,AFIR70FL.DTA,Afghanistan,2015
UMSA,Never Used,0.000857797,AFIR70FL.DTA,Afghanistan,2015
Married,Current User,0.075615081,AOIR71FL.DTA,Angola,2015
UMNSA,Current User,0.027880336,AOIR71FL.DTA,Angola,2015
UMSA,Current User,0.029599538,AOIR71FL.DTA,Angola,2015
Married,Former User,0.068676162,AOIR71FL.DTA,Angola,2015
UMNSA,Former User,0.029158798,AOIR71FL.DTA,Angola,2015
UMSA,Former User,0.012080156,AOIR71FL.DTA,Angola,2015
Married,Never Used,0.409057676,AOIR71FL.DTA,Angola,2015
UMNSA,Never Used,0.286808573,AOIR71FL.DTA,Angola,2015
UMSA,Never Used,0.06112368,AOIR71FL.DTA,Angola,2015
Married,Current User,0.363986172,AMIR71FL.DTA,Armenia,2015
MISSING,Current User,0,AMIR71FL.DTA,Armenia,2015
UMNSA,Current User,0.001567546,AMIR71FL.DTA,Armenia,2015
UMSA,Current User,0.001607236,AMIR71FL.DTA,Armenia,2015
Married,Former User,0.096897517,AMIR71FL.DTA,Armenia,2015
MISSING,Former User,0,AMIR71FL.DTA,Armenia,2015
UMNSA,Former User,0.024224286,AMIR71FL.DTA,Armenia,2015
UMSA,Former User,0.000118407,AMIR71FL.DTA,Armenia,2015
Married,Never Used,0.17602145,AMIR71FL.DTA,Armenia,2015
MISSING,Never Used,0.00051135,AMIR71FL.DTA,Armenia,2015
UMNSA,Never Used,0.335066035,AMIR71FL.DTA,Armenia,2015
UMSA,Never Used,0,AMIR71FL.DTA,Armenia,2015
Married,Current User,0.33603604,AMIR61FL.DTA,Armenia,2010
UMNSA,Current User,0.001152092,AMIR61FL.DTA,Armenia,2010
UMSA,Current User,0.001574732,AMIR61FL.DTA,Armenia,2010
Married,Former User,0.102667602,AMIR61FL.DTA,Armenia,2010
UMNSA,Former User,0.023000209,AMIR61FL.DTA,Armenia,2010
UMSA,Former User,0.000359932,AMIR61FL.DTA,Armenia,2010
Married,Never Used,0.173528305,AMIR61FL.DTA,Armenia,2010
UMNSA,Never Used,0.360237163,AMIR61FL.DTA,Armenia,2010
UMSA,Never Used,0.001443926,AMIR61FL.DTA,Armenia,2010
Married,Current User,0.583403745,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Current User,0,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Current User,0,BDIR7RFL.DTA,Bangladesh,2017
Married,Former User,0.265244023,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Former User,0.038329502,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Former User,0.000165777,BDIR7RFL.DTA,Bangladesh,2017
Married,Never Used,0.094584433,BDIR7RFL.DTA,Bangladesh,2017
UMNSA,Never Used,0.018272521,BDIR7RFL.DTA,Bangladesh,2017
UMSA,Never Used,0,BDIR7RFL.DTA,Bangladesh,2017
Married,Current User,0.589326805,BDIR72FL.DTA,Bangladesh,2014
UMNSA,Current User,0,BDIR72FL.DTA,Bangladesh,2014
UMSA,Current User,0,BDIR72FL.DTA,Bangladesh,2014
Married,Former User,0.2045731,BDIR72FL.DTA,Bangladesh,2014
