"Group","Freq","SurveyName","Country","StartYear"
"Infecund, Menopausal",0.00897756971804264,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.906233715224718,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0847887150572395,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.0571417484738582,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years",0.48937623056214,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years",0.0783799658532734,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active",0.165089494633267,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active",0.210012560477461,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years",0.807784944649275,"AMIR61FL.DTA","Armenia",2010
"Married, Wants Child within 2 Years",0.107418556734559,"AMIR61FL.DTA","Armenia",2010
"Not Married, Not Sexually Active",0.0847964986161659,"AMIR61FL.DTA","Armenia",2010
"Infecund, Menopausal",0.00230474648250147,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years",0.696426510080476,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years",0.185180014612122,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active",0.116088728824901,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal",0.0267215892293017,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years",0.754361878081012,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years",0.218916532689686,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal",0.0252653928888203,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years",0.752594172547667,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years",0.222140434563513,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal",0.0236516847162054,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years",0.713779518710294,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years",0.262568796573501,"BDIR7RFL.DTA","Bangladesh",2017
"Infecund, Menopausal",0.0242053969628676,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years",0.499193832631709,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years",0.16179381562101,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active",0.206266244765114,"BJIR61FL.DTA","Benin",2011
"Not Married, Sexually Active",0.108540710019299,"BJIR61FL.DTA","Benin",2011
"Infecund, Menopausal",0.0119893828854138,"BJIR71FL.DTA","Benin",2017
"Married, Does Not Want Child within 2 Years",0.617538719432359,"BJIR71FL.DTA","Benin",2017
"Married, Wants Child within 2 Years",0.242121214162699,"BJIR71FL.DTA","Benin",2017
"Not Married, Not Sexually Active",0.0660267522403339,"BJIR71FL.DTA","Benin",2017
"Not Married, Sexually Active",0.062323931279194,"BJIR71FL.DTA","Benin",2017
"Infecund, Menopausal",0.00994175806445259,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Does Not Want Child within 2 Years",0.747352443613837,"BFIR62FL.DTA","Burkina Faso",2010
"Married, Wants Child within 2 Years",0.156291679692329,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Not Sexually Active",0.0727244823001406,"BFIR62FL.DTA","Burkina Faso",2010
"Not Married, Sexually Active",0.0136896363292404,"BFIR62FL.DTA","Burkina Faso",2010
"Infecund, Menopausal",0.00719402372330219,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Does Not Want Child within 2 Years",0.589247235468926,"BFIR81FL.DTA","Burkina Faso",2021
"Married, Wants Child within 2 Years",0.297970489532993,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Not Sexually Active",0.0674009124011789,"BFIR81FL.DTA","Burkina Faso",2021
"Not Married, Sexually Active",0.0381873388735996,"BFIR81FL.DTA","Burkina Faso",2021
"Infecund, Menopausal",0.0493251277617148,"BUIR61FL.DTA","Burundi",2010
"Married, Does Not Want Child within 2 Years",0.71173536723359,"BUIR61FL.DTA","Burundi",2010
"Married, Wants Child within 2 Years",0.150474914480875,"BUIR61FL.DTA","Burundi",2010
"Not Married, Not Sexually Active",0.0610658116424541,"BUIR61FL.DTA","Burundi",2010
"Not Married, Sexually Active",0.0273987788813669,"BUIR61FL.DTA","Burundi",2010
"Infecund, Menopausal",0.0195976987922766,"BUIR70FL.DTA","Burundi",2016
"Married, Does Not Want Child within 2 Years",0.734998829313745,"BUIR70FL.DTA","Burundi",2016
"Married, Wants Child within 2 Years",0.110787163972366,"BUIR70FL.DTA","Burundi",2016
"Not Married, Not Sexually Active",0.0951352847520109,"BUIR70FL.DTA","Burundi",2016
"Not Married, Sexually Active",0.0394810231696013,"BUIR70FL.DTA","Burundi",2016
"Infecund, Menopausal",0.0361730954755281,"KHIR73FL.DTA","Cambodia",2014
"Married, Does Not Want Child within 2 Years",0.683342396895766,"KHIR73FL.DTA","Cambodia",2014
"Married, Wants Child within 2 Years",0.185416804538509,"KHIR73FL.DTA","Cambodia",2014
"Not Married, Not Sexually Active",0.0850093244408971,"KHIR73FL.DTA","Cambodia",2014
"Not Married, Sexually Active",0.0100583786492993,"KHIR73FL.DTA","Cambodia",2014
"Infecund, Menopausal",0.0230147334530291,"KHIR81FL.DTA","Cambodia",2021
"Married, Does Not Want Child within 2 Years",0.682602624348014,"KHIR81FL.DTA","Cambodia",2021
"Married, Wants Child within 2 Years",0.162984706600207,"KHIR81FL.DTA","Cambodia",2021
"Not Married, Not Sexually Active",0.119941442638523,"KHIR81FL.DTA","Cambodia",2021
"Not Married, Sexually Active",0.0114564929602275,"KHIR81FL.DTA","Cambodia",2021
"Infecund, Menopausal",0.0139141804272841,"CMIR61FL.DTA","Cameroon",2011
"Married, Does Not Want Child within 2 Years",0.54784520406955,"CMIR61FL.DTA","Cameroon",2011
"Married, Wants Child within 2 Years",0.175255119160706,"CMIR61FL.DTA","Cameroon",2011
"Not Married, Not Sexually Active",0.164537267538674,"CMIR61FL.DTA","Cameroon",2011
"Not Married, Sexually Active",0.0984482288037863,"CMIR61FL.DTA","Cameroon",2011
"Infecund, Menopausal",0.0100198283988964,"CMIR71FL.DTA","Cameroon",2018
"Married, Does Not Want Child within 2 Years",0.431510714110475,"CMIR71FL.DTA","Cameroon",2018
"Married, Wants Child within 2 Years",0.150416796110678,"CMIR71FL.DTA","Cameroon",2018
"Not Married, Not Sexually Active",0.178840246712514,"CMIR71FL.DTA","Cameroon",2018
"Not Married, Sexually Active",0.229212414667437,"CMIR71FL.DTA","Cameroon",2018
"Infecund, Menopausal",0.0115680854501209,"TDIR71FL.DTA","Chad",2014
"Married, Does Not Want Child within 2 Years",0.683091953382877,"TDIR71FL.DTA","Chad",2014
"Married, Wants Child within 2 Years",0.134127807402807,"TDIR71FL.DTA","Chad",2014
"Not Married, Not Sexually Active",0.110152580011254,"TDIR71FL.DTA","Chad",2014
"Not Married, Sexually Active",0.0610595737529419,"TDIR71FL.DTA","Chad",2014
"Infecund, Menopausal",0.0183153740552014,"KMIR61FL.DTA","Comoros",2012
"Married, Does Not Want Child within 2 Years",0.777637260357172,"KMIR61FL.DTA","Comoros",2012
"Married, Wants Child within 2 Years",0.0774686770104418,"KMIR61FL.DTA","Comoros",2012
"Not Married, Not Sexually Active",0.0885569372658979,"KMIR61FL.DTA","Comoros",2012
"Not Married, Sexually Active",0.0380217513112864,"KMIR61FL.DTA","Comoros",2012
"Infecund, Menopausal",0.0152709222424909,"CGIR60FL.DTA","Congo",2011
"Married, Does Not Want Child within 2 Years",0.605098158332725,"CGIR60FL.DTA","Congo",2011
"Married, Wants Child within 2 Years",0.0898247201634559,"CGIR60FL.DTA","Congo",2011
"Not Married, Not Sexually Active",0.132275124122861,"CGIR60FL.DTA","Congo",2011
"Not Married, Sexually Active",0.157531075138467,"CGIR60FL.DTA","Congo",2011
"Infecund, Menopausal",0.00525038699547075,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Married, Does Not Want Child within 2 Years",0.63401717841922,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Married, Wants Child within 2 Years",0.108117862914277,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Not Married, Not Sexually Active",0.149977612093325,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Not Married, Sexually Active",0.102636959577708,"CDIR61FL.DTA","Congo Democratic Republic",2013
"Infecund, Menopausal",0.0109259729999284,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Married, Does Not Want Child within 2 Years",0.519457634202294,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Married, Wants Child within 2 Years",0.136145011025837,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Not Married, Not Sexually Active",0.174427886958741,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Not Married, Sexually Active",0.159043494813199,"CIIR62FL.DTA","Cote d'Ivoire",2011
"Infecund, Menopausal",0.00613167522988264,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Married, Does Not Want Child within 2 Years",0.45972639691589,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Married, Wants Child within 2 Years",0.212400586646606,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Not Married, Not Sexually Active",0.151620246693128,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Not Married, Sexually Active",0.170121094514493,"CIIR81FL.DTA","Cote d'Ivoire",2021
"Infecund, Menopausal",0.0177391294896864,"DRIR61FL.DTA","Dominican Republic",2013
"Married, Does Not Want Child within 2 Years",0.349675598696621,"DRIR61FL.DTA","Dominican Republic",2013
"Married, Wants Child within 2 Years",0.119354836177277,"DRIR61FL.DTA","Dominican Republic",2013
"Not Married, Not Sexually Active",0.361190494418948,"DRIR61FL.DTA","Dominican Republic",2013
"Not Married, Sexually Active",0.152039941217468,"DRIR61FL.DTA","Dominican Republic",2013
"Infecund, Menopausal",0.0254852568551743,"EGIR61FL.DTA","Egypt",2014
"Married, Does Not Want Child within 2 Years",0.733953434411932,"EGIR61FL.DTA","Egypt",2014
"Married, Wants Child within 2 Years",0.240561308732894,"EGIR61FL.DTA","Egypt",2014
"Infecund, Menopausal",0.0268224615737915,"ETIR61FL.DTA","Ethiopia",2011
"Married, Does Not Want Child within 2 Years",0.674378061952599,"ETIR61FL.DTA","Ethiopia",2011
"Married, Wants Child within 2 Years",0.105612704076249,"ETIR61FL.DTA","Ethiopia",2011
"Not Married, Not Sexually Active",0.147328271791727,"ETIR61FL.DTA","Ethiopia",2011
"Not Married, Sexually Active",0.0458585006056338,"ETIR61FL.DTA","Ethiopia",2011
"Infecund, Menopausal",0.0308281625937164,"ETIR70FL.DTA","Ethiopia",2016
"Married, Does Not Want Child within 2 Years",0.707410939536459,"ETIR70FL.DTA","Ethiopia",2016
"Married, Wants Child within 2 Years",0.119226125153663,"ETIR70FL.DTA","Ethiopia",2016
"Not Married, Not Sexually Active",0.118434698615894,"ETIR70FL.DTA","Ethiopia",2016
"Not Married, Sexually Active",0.0241000741002679,"ETIR70FL.DTA","Ethiopia",2016
"Infecund, Menopausal",0.00268164996221888,"GAIR60FL.DTA","Gabon",2012
"Married, Does Not Want Child within 2 Years",0.484392843997423,"GAIR60FL.DTA","Gabon",2012
"Married, Wants Child within 2 Years",0.106364561925373,"GAIR60FL.DTA","Gabon",2012
"Not Married, Not Sexually Active",0.17442780377717,"GAIR60FL.DTA","Gabon",2012
"Not Married, Sexually Active",0.232133140337816,"GAIR60FL.DTA","Gabon",2012
"Infecund, Menopausal",0.0116846085550325,"GMIR60FL.DTA","Gambia",2013
"Married, Does Not Want Child within 2 Years",0.670835491589869,"GMIR60FL.DTA","Gambia",2013
"Married, Wants Child within 2 Years",0.20440136927259,"GMIR60FL.DTA","Gambia",2013
"Not Married, Not Sexually Active",0.104831535073047,"GMIR60FL.DTA","Gambia",2013
"Not Married, Sexually Active",0.00824699550946108,"GMIR60FL.DTA","Gambia",2013
"Infecund, Menopausal",0.010618198471912,"GMIR81FL.DTA","Gambia",2019
"Married, Does Not Want Child within 2 Years",0.63933020806999,"GMIR81FL.DTA","Gambia",2019
"Married, Wants Child within 2 Years",0.228316889060449,"GMIR81FL.DTA","Gambia",2019
"Not Married, Not Sexually Active",0.0924898136024187,"GMIR81FL.DTA","Gambia",2019
"Not Married, Sexually Active",0.0292448907952306,"GMIR81FL.DTA","Gambia",2019
"Infecund, Menopausal",0.00885533202151061,"GHIR72FL.DTA","Ghana",2014
"Married, Does Not Want Child within 2 Years",0.611184198151014,"GHIR72FL.DTA","Ghana",2014
"Married, Wants Child within 2 Years",0.0884580636888523,"GHIR72FL.DTA","Ghana",2014
"Not Married, Not Sexually Active",0.188678463246852,"GHIR72FL.DTA","Ghana",2014
"Not Married, Sexually Active",0.102823942891771,"GHIR72FL.DTA","Ghana",2014
"Infecund, Menopausal",0.0205399267147066,"GUIR71FL.DTA","Guatemala",2014
"Married, Does Not Want Child within 2 Years",0.545380810224516,"GUIR71FL.DTA","Guatemala",2014
"Married, Wants Child within 2 Years",0.0938255490482788,"GUIR71FL.DTA","Guatemala",2014
"Not Married, Not Sexually Active",0.278792561748411,"GUIR71FL.DTA","Guatemala",2014
"Not Married, Sexually Active",0.0614611522640874,"GUIR71FL.DTA","Guatemala",2014
"Infecund, Menopausal",0.011760680931111,"GNIR62FL.DTA","Guinea",2012
"Married, Does Not Want Child within 2 Years",0.656283201398054,"GNIR62FL.DTA","Guinea",2012
"Married, Wants Child within 2 Years",0.180029613881905,"GNIR62FL.DTA","Guinea",2012
"Not Married, Not Sexually Active",0.087852579515128,"GNIR62FL.DTA","Guinea",2012
"Not Married, Sexually Active",0.0640739242738021,"GNIR62FL.DTA","Guinea",2012
"Infecund, Menopausal",0.0255448130643667,"GNIR71FL.DTA","Guinea",2018
"Married, Does Not Want Child within 2 Years",0.435847604801781,"GNIR71FL.DTA","Guinea",2018
"Married, Wants Child within 2 Years",0.375367149162051,"GNIR71FL.DTA","Guinea",2018
"Not Married, Not Sexually Active",0.115575076924114,"GNIR71FL.DTA","Guinea",2018
"Not Married, Sexually Active",0.0476653560476867,"GNIR71FL.DTA","Guinea",2018
"Infecund, Menopausal",0.0141942114451025,"HNIR62FL.DTA","Honduras",2011
"Married, Does Not Want Child within 2 Years",0.374064901986702,"HNIR62FL.DTA","Honduras",2011
"Married, Wants Child within 2 Years",0.0958253559592471,"HNIR62FL.DTA","Honduras",2011
"Not Married, Not Sexually Active",0.482889527475859,"HNIR62FL.DTA","Honduras",2011
"Not Married, Sexually Active",0.0330260031330897,"HNIR62FL.DTA","Honduras",2011
"Infecund, Menopausal",0.0392960200106553,"IAIR73FL.DTA","India",2015
"Married, Does Not Want Child within 2 Years",0.325665775207802,"IAIR73FL.DTA","India",2015
"Married, Wants Child within 2 Years",0.618979191960871,"IAIR73FL.DTA","India",2015
"Not Married, Not Sexually Active",0.0146689810376216,"IAIR73FL.DTA","India",2015
"Not Married, Sexually Active",0.00139003178304975,"IAIR73FL.DTA","India",2015
"Infecund, Menopausal",0.0307921323723186,"IAIR7DFL.DTA","India",2019
"Married, Does Not Want Child within 2 Years",0.313539736936468,"IAIR7DFL.DTA","India",2019
"Married, Wants Child within 2 Years",0.630834784944581,"IAIR7DFL.DTA","India",2019
"Not Married, Not Sexually Active",0.024273159210174,"IAIR7DFL.DTA","India",2019
"Not Married, Sexually Active",0.000560186536458486,"IAIR7DFL.DTA","India",2019
