"Group","Freq","SurveyName","Country","StartYear"
"Infecund, Menopausal",0.0570555821882629,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years",0.846969463884802,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years",0.0946871658582846,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active",0.00128778806865071,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal",0.0996991924234024,"AOIR71FL.DTA","Angola",2015
"Married, Does Not Want Child within 2 Years",0.372745063813653,"AOIR71FL.DTA","Angola",2015
"Married, Wants Child within 2 Years",0.0561921385676451,"AOIR71FL.DTA","Angola",2015
"Not Married, Not Sexually Active",0.312185987790421,"AOIR71FL.DTA","Angola",2015
"Not Married, Sexually Active",0.159177617404879,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal",0.0457057123536447,"AMIR61FL.DTA","Armenia",2010
"Married, Does Not Want Child within 2 Years",0.183190241308789,"AMIR61FL.DTA","Armenia",2010
"Married, Wants Child within 2 Years",0.0770077302029284,"AMIR61FL.DTA","Armenia",2010
"Not Married, Not Sexually Active",0.693645585184236,"AMIR61FL.DTA","Armenia",2010
"Not Married, Sexually Active",0.000450730950402043,"AMIR61FL.DTA","Armenia",2010
"Infecund, Menopausal",0.026770700015858,"AMIR71FL.DTA","Armenia",2015
"Married, Does Not Want Child within 2 Years",0.176830960341857,"AMIR71FL.DTA","Armenia",2015
"Married, Wants Child within 2 Years",0.0798480976123069,"AMIR71FL.DTA","Armenia",2015
"Not Married, Not Sexually Active",0.711744086234895,"AMIR71FL.DTA","Armenia",2015
"Not Married, Sexually Active",0.00480615579508273,"AMIR71FL.DTA","Armenia",2015
"Infecund, Menopausal",0.180605087825132,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years",0.599425757826812,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years",0.219969154348056,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal",0.172671068206938,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years",0.631412292013164,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years",0.195916639779898,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal",0.203963745357981,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Does Not Want Child within 2 Years",0.533025593693403,"BDIR7RFL.DTA","Bangladesh",2017
"Married, Wants Child within 2 Years",0.263010660948615,"BDIR7RFL.DTA","Bangladesh",2017
"Infecund, Menopausal",0.080301381201437,"BJIR61FL.DTA","Benin",2011
"Married, Does Not Want Child within 2 Years",0.421274511447843,"BJIR61FL.DTA","Benin",2011
"Married, Wants Child within 2 Years",0.166160350797306,"BJIR61FL.DTA","Benin",2011
"Not Married, Not Sexually Active",0.262497801398387,"BJIR61FL.DTA","Benin",2011
