"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"All Never Users","Does Not Intend",0.473752872499465,20424,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","Unsure About Use",0.352278192499513,20424,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","Use Later",0.173968935001023,20424,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","Does Not Intend",0.840193080901869,5182,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","Unsure About Use",0.1228298786574,5182,"AFIR70FL.DTA","Afghanistan",2015
"Infecund, Menopausal","Use Later",0.0369770404407304,5182,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.30037659341939,12254,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.448627962249946,12254,"AFIR70FL.DTA","Afghanistan",2015
"Married, Does Not Want Child within 2 Years","Use Later",0.250995444330664,12254,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","Does Not Intend",0.491373915597424,2798,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","Unsure About Use",0.391851826724611,2798,"AFIR70FL.DTA","Afghanistan",2015
"Married, Wants Child within 2 Years","Use Later",0.116774257677965,2798,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","Does Not Intend",0.692016073363739,159,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","Unsure About Use",0.271601604104226,159,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Not Sexually Active","Use Later",0.0363823225320348,159,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","Does Not Intend",0.724059524569835,31,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","Unsure About Use",0.275940475430165,31,"AFIR70FL.DTA","Afghanistan",2015
"Not Married, Sexually Active","Use Later",0,31,"AFIR70FL.DTA","Afghanistan",2015
"All Never Users","Does Not Intend",0.481042567014072,11627,"AOIR71FL.DTA","Angola",2015
"All Never Users","Unsure About Use",0.220145147738267,11627,"AOIR71FL.DTA","Angola",2015
"All Never Users","Use Later",0.298812285247662,11627,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","Does Not Intend",0.709244544555161,2130,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","Unsure About Use",0.129200541369495,2130,"AOIR71FL.DTA","Angola",2015
"Infecund, Menopausal","Use Later",0.161554914075344,2130,"AOIR71FL.DTA","Angola",2015
